Acc_shortestPathAmongPairsOfNodes2_MAT,Acc_selectAllCommonNeighborsOf2Nodes_MAT
0.4,0.5
0.4,0.883333333
0.6,0.9
0.2,0.583333333
0.2,0.383333333
0.4,0.75
0.4,0.05
0.3,0.75
0.4,0.666666667
0.5,0.55
0.3,0.65
0.3,0.6
0.4,0.75
0.4,0.666666667
0.1,0.733333333
0.4,0.833333333
0.2,0.55
0.4,0.016666667
0.4,0.383333333
0.3,0.683333333
0.3,0
0.3,0.416666667
0.4,0.65
0.5,0.666666667
0.6,0.8
0.3,0.85
0.4,0.35
0.3,0.566666667
0.4,0.85
0.4,0.85
0.3,0.65
0.5,0.916666667
0.6,0.9
0.2,0.85
0.3,0.616666667
0.3,0.9
0.2,1
0.1,0.716666667
0.3,0.616666667
0.5,0.866666667
0.1,0.733333333
0.2,0.95
0,0.666666667
0.3,0.95
0.1,0.95
0.3,0.933333333
0.2,0.983333333
0.4,0.95
0.3,0.6
0.3,0.833333333
