Time_shortestPathAmongPairsOfNodes2_NL,Time_selectAllCommonNeighborsOf2Nodes_NL
4.7,28
6,24.9
7.2,20.4
7.9,25.7
8.5,26.9
9.5,28.5
9.2,29.8
10,30
3.8,28.6
9.7,29.9
7.9,21.2
6.6,29
8.8,29.4
5.4,28.8
8.3,24.9
8.5,28.5
8.6,30
8.1,23.9
5.2,27.6
6.9,28.9
3.8,24
3.5,28.4
4.7,25.3
5.1,26.5
6,29.9
4.9,23.2
5.5,29.9
4.4,28.2
5.2,24.8
7.9,27.9
8.2,30
7.6,23.5
7.8,28.2
4.5,25.8
9.7,29.4
8.7,28.5
5.5,29.5
6.7,30
7.8,29
8.9,30
9.4,29.2
9,29.6
8.5,30
9.3,28.5
7.1,27.4
3.5,24.9
9,27.8
3.9,28.9
3.2,25.8
9.8,29.2
8.6,29.8
4.5,27
7.9,26.8
9.2,27.2
