"Time_shortestPathAmongPairsOfNodes2_NL,,,,,,,,, ",,::," Time_selectAllCommonNeighborsOf2Nodes_NL,,,,,,,,,"
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 ",,::," Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
"8,4,5,3,4,10,3,3,3,4 ",,::," 30,30,30,30,30,30,30,16,30,24"
"10,5,6,7,4,8,5,8,4,3 ",,::," 25,29,28,30,22,27,15,25,24,24"
"9,9,10,7,5,10,6,5,5,6 ",,::," 29,15,29,19,13,25,18,10,26,20"
"8,7,8,9,6,8,8,8,9,8 ",,::," 30,28,26,28,27,26,18,22,23,29"
"10,10,10,9,9,10,6,6,10,5 ",,::," 30,27,30,25,26,30,30,12,29,30"
"10,10,10,10,8,10,7,10,10,10 ",,::," 30,25,30,30,28,30,30,22,30,30"
"10,8,9,10,7,10,8,10,10,10 ",,::," 30,30,30,30,30,30,30,28,30,30"
"10,3,10,10,10,10,5,10,10,8 ",,::," 21,9,9,9,9,7,8,8,10,8"
"10,10,10,10,10,10,10,10,10,10 ",,::," 30,30,30,30,30,30,30,30,30,30"
"4,3,5,6,2,10,2,1,2,3 ",,::," 30,30,30,30,20,30,26,30,30,30"
"10,10,10,10,10,10,8,10,9,10 ",,::," 30,30,30,30,30,29,30,30,30,30"
"10,10,6,10,7,10,5,6,6,9 ",,::," 29,17,21,30,30,30,13,11,17,14"
"10,10,6,6,6,10,4,4,6,4 ",,::," 30,30,30,30,30,30,30,22,30,28"
"10,7,8,9,9,10,5,10,10,10 ",,::," 30,30,30,30,30,30,30,24,30,30"
"6,7,5,4,4,7,7,6,4,4 ",,::," 30,30,30,30,18,30,30,30,30,30"
"10,7,5,10,6,10,6,10,9,10 ",,::," 30,24,30,22,30,30,21,17,27,18"
"10,7,7,10,9,10,3,10,10,9 ",,::," 30,30,30,30,30,21,30,24,30,30"
"10,10,10,7,10,8,10,6,7,8 ",,::," 30,30,30,30,30,30,30,30,30,30"
"10,9,10,9,5,9,4,10,9,6 ",,::," 25,15,27,30,30,26,21,16,23,26"
"10,5,5,4,2,10,3,5,3,5 ",,::," 30,28,30,30,27,30,26,15,30,30"
"10,10,6,4,7,10,4,4,8,6 ",,::," 30,30,30,30,30,30,30,19,30,30"
"6,7,4,3,2,9,2,1,2,2 ",,::," 30,26,30,30,18,23,20,13,28,22"
"5,3,2,4,2,10,2,2,3,2 ",,::," 30,30,30,30,20,30,27,30,30,27"
"4,4,9,4,3,10,3,3,4,3 ",,::," 26,17,30,24,25,30,27,19,30,25"
"6,6,5,7,4,10,3,2,3,5 ",,::," 29,19,30,29,27,27,22,22,30,30"
"10,10,4,3,6,10,4,5,3,5 ",,::," 29,30,30,30,30,30,30,30,30,30"
"7,5,3,4,3,10,5,2,3,7 ",,::," 30,22,19,30,19,30,16,23,22,21"
