Acc_selectLargerGroup_NL,Acc_does2NodeBelongToSameCluster_NL,Acc_howManyClustersAreThere_NL
0.9,0.7,0.75
1,0.7,0.375
0.9,1,0.75
0.9,1,0.625
0.8,1,0.625
0.8,1,0.25
1,0.5,0.75
1,0.6,0.875
0.8,0.9,0.875
1,1,0.875
1,0.9,1
0.8,0.5,0.5
0.8,0.8,0.875
0.8,1,1
0.9,1,0.75
0.8,1,1
0.9,1,0.875
1,0.4,0.5
0.9,1,1
0.9,1,0.75
0.9,0.6,0.875
0.9,0.3,0.75
0.7,0.8,0
1,1,0.875
1,0.9,0.75
0.9,1,1.125
0.9,1,0.75
0.8,0.7,0
0.8,0.7,0.75
0.7,0.6,0.75
0.9,0.8,0.75
0.9,0.6,0.75
0.7,0.7,0.75
0.8,0.3,0.625
0.8,1,0.875
0.9,0.3,0.25
0.8,1,0.875
0.8,0.7,0.75
0.6,0.9,0.625
0.9,1,0.875
0.9,1,0.75
0.9,1,0.875
0.9,0.9,0.875
0.8,0.9,0.875
1,1,0.875
0.9,1,1
0.7,0.5,0
0.9,0.9,0.875
1,1,0.75
0.9,1,0.875
0.9,1,1
1,1,1
0.8,0.6,0.625
