"Acc_selectLargerGroup_MAT,,,,,,,,, ",::," Acc_does2NodeBelongToSameCluster_MAT,,,,,,,,, ",::, Acc_howManyClustersAreThere_MAT
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 ",::," Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 ",::, Q1
"1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0 ",::," 0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0 ",::,0
"1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0 ",::," 1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0 ",::,0
"1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 ",::," 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0 ",::,0
"1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 ",::," 1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0 ",::,0
"1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0 ",::," 1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0 ",::,0
"blue,red,blue,blue,red,red,blue,red,blue,blue ",::," yes,yes,no,no,yes,yes,yes,no,no,yes ",::,7
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,yes,no,yes,no ",::,16
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,9
"red,blue,blue,blue,blue,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,yes,no,yes,no ",::,8
"red,red,blue,blue,blue,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,7
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,yes,no,yes,no ",::,8
"red,blue,blue,red,blue,blue,red,red,blue,blue ",::," yes,no,yes,no,yes,yes,yes,yes,yes,no ",::,8
"red,red,blue,blue,red,red,red,red,blue,blue ",::," no,no,yes,no,yes,yes,yes,no,yes,no ",::,7
"red,blue,red,blue,blue,red,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,9
"red,red,blue,blue,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,12
"red,red,blue,blue,red,blue,red,red,blue,blue ",::," no,no,no,no,yes,no,no,no,no,no ",::,7
"red,red,blue,blue,red,red,red,red,blue,blue ",::," yes,no,yes,no,no,yes,yes,no,yes,no ",::,7
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,8
"red,red,blue,blue,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,8
"red,blue,blue,blue,blue,blue,red,red,blue,blue ",::," yes,no,yes,no,yes,yes,no,no,yes,no ",::,8
"red,red,blue,blue,blue,blue,red,red,blue,blue ",::," no,no,yes,no,yes,no,no,no,yes,yes ",::,8
"red,blue,blue,blue,blue,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,yes,no,yes,no ",::,650
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,yes,no,yes,no ",::,8
"red,red,blue,blue,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,yes,no,yes,no ",::,7
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,yes,no,yes ",::,8
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,yes,yes,yes,yes,no,no,no ",::,8
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,7
"red,red,blue,red,red,blue,red,red,blue,blue ",::," yes,no,yes,no,yes,no,yes,yes,no,no ",::,2
"red,red,blue,blue,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,8
"red,red,blue,red,blue,blue,red,red,blue,blue ",::," no,no,yes,yes,yes,no,no,no,no,yes ",::,8
"red,red,blue,red,red,blue,red,red,blue,blue ",::," no,no,yes,no,yes,yes,no,no,yes,no ",::,7
