Missed_selectLargerGroup_MAT,,,,,,,,, :: Missed_does2NodeBelongToSameCluster_MAT,,,,,,,,, :: Missed_howManyClustersAreThere_MAT
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0
