Time_selectLargerGroup_NL,Time_does2NodeBelongToSameCluster_NL,Time_howManyClustersAreThere_NL
4.5,5.6,10
7.6,7.7,10
4.6,2.8,10
3.7,3.5,8
6.4,4.9,10
5.4,4.1,10
5.3,3,9
4.1,8.7,8
3.8,4,10
4.8,8.8,10
3.6,6.7,10
4.2,8.1,7
4.3,3.3,10
4,5.4,10
4,7,10
5.1,4.4,8
3,4.1,10
3.8,6.5,10
4.8,7.6,10
4.6,3,10
4,4.6,10
4.8,9.4,10
1.8,1.3,5
6.2,6.8,10
2.8,6.5,8
3.7,3.4,10
3.7,5,10
3.3,5.8,10
4,6.1,9
4,9.6,10
4.1,8.5,10
4.8,8.6,10
4.6,6.9,10
5.4,9.4,10
4.9,4.2,3
3.8,4.3,10
4.6,5.1,9
3.7,9.1,10
2.4,4.1,9
4.8,6.3,6
5.3,3.8,10
9.5,9.7,10
3.0,2.9,2
2.6,7.2,2
2.3,3.6,10
2.2,3.5,9
2.7,3.5,7
2.9,5.9,10
1.6,4.7,10
2.8,4.9,10
4.3,5.2,10
3.6,3.5,10
2.7,6,10
