Acc_isANodeConnectedToANamedNode_MAT,Acc_shortestPathBetween2Nodes_MAT,Acc_areTwoNamedNodesConnected_MAT
0.6,0.0,1.0
1.0,0.4,1.0
0.6,0.0,0.6
0.4,0.4,0.6
0.6,0.4,0.6
0.8,0.4,0.4
0.8,0.0,0.4
0.8,0.2,1.0
0.4,0.0,0.4
1.0,0.0,0.6
0.0,0.2,0.6
1.0,0.6,1.0
1.0,0.2,1.0
0.8,0.2,0.8
0.6,0.0,1.0
0.8,0.0,0.6
0.6,0.2,0.2
0.4,0.0,0.4
0.6,0.0,0.8
0.4,0.2,0.8
0.8,0.2,0.6
0.4,0.0,0.4
0.4,0.2,0.2
1.0,0.0,0.6
0.8,0.0,0.2
0.4,0.2,0.6
0.6,0.0,0.2
0.6,0.4,0.0
1.0,0.8,0.6
0.0,0.0,1.0
0.8,0.0,0.6
1.0,0.0,1.0
0.4,0.4,0.8
0.8,0.6,0.6
1.0,0.0,0.8
0.8,0.2,0.8
0.6,0.0,0.6
0.6,0.4,0.8
0.8,0.0,0.4
0.8,0.0,0.4
0.6,0.2,0.4
0.4,0.2,0.8
0.8,0.4,0.8
0.6,0.0,0.4
0.2,0.4,0.6
1.0,0.0,0.4
0.8,0.6,0.6
0.6,0.0,1.0
0.6,0.2,0.8
1.0,0.0,0.4
