Error_isANodeConnectedToANamedNode_MAT,,,, :: Error_shortestPathBetween2Nodes_MAT,,,, :: Error_areTwoNamedNodesConnected_MAT,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
