Time_isANodeConnectedToANamedNode_NL,Time_shortestPathBetween2Nodes_NL,Time_areTwoNamedNodesConnected_NL
15.6,25.2,0.0
6.6,42.2,0.0
20.0,44.0,0.0
13.2,40.2,0.0
15.6,41.8,0.0
14.4,14.6,0.0
15.0,19.2,0.0
15.0,19.0,0.0
15.0,16.0,0.0
20.0,53.6,0.0
16.0,19.8,0.0
18.2,38.4,0.0
11.0,37.8,0.0
14.2,43.2,0.0
19.2,48.6,0.0
20.0,52.4,0.0
14.6,44.6,0.0
18.8,38.0,0.0
18.2,35.2,0.0
1.4,2.4,0.0
17.2,35.4,0.0
10.0,12.0,0.0
16.6,16.6,0.0
18.4,43.8,0.0
19.6,53.6,0.0
15.6,40.0,0.0
12.6,47.0,0.0
14.4,39.0,0.0
20.0,51.8,0.0
15.0,34.6,0.0
13.8,29.0,0.0
19.6,53.4,0.0
17.8,45.6,0.0
13.2,36.8,0.0
12.6,26.0,0.0
15.2,35.0,0.0
14.6,28.6,0.0
17.8,51.0,0.0
13.8,29.8,0.0
18.0,36.2,0.0
20.0,60.0,0.0
15.4,39.8,0.0
17.4,32.2,0.0
14.2,36.8,0.0
18.8,47.2,0.0
9.8,23.0,0.0
14.4,20.2,0.0
13.4,46.2,0.0
15.2,17.4,0.0
16.4,49.8,0.0
