Time_isANodeConnectedToANamedNode_MAT,,,, :: Time_shortestPathBetween2Nodes_MAT,,,, :: Time_areTwoNamedNodesConnected_MAT,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
20,20,20,13,20 :: 37,33,23,7,5 :: 0,0,0,0,0
13,19,20,18,14 :: 16,18,60,28,48 :: 0,0,0,0,0
20,20,20,20,20 :: 55,60,60,60,60 :: 0,0,0,0,0
11,14,5,4,8 :: 14,4,5,5,5 :: 0,0,0,0,0
16,20,20,20,16 :: 33,54,38,18,60 :: 0,0,0,0,0
17,19,20,20,20 :: 11,25,60,27,28 :: 0,0,0,0,0
20,20,17,19,20 :: 25,35,41,15,17 :: 0,0,0,0,0
20,13,19,12,14 :: 54,34,42,36,32 :: 0,0,0,0,0
3,2,1,1,1 :: 5,3,2,2,5 :: 0,0,0,0,0
5,5,6,3,6 :: 16,12,6,9,7 :: 0,0,0,0,0
20,20,3,3,1 :: 5,4,13,2,4 :: 0,0,0,0,0
20,20,15,20,12 :: 25,28,60,35,53 :: 0,0,0,0,0
20,9,5,2,3 :: 6,3,4,3,2 :: 0,0,0,0,0
20,14,19,18,14 :: 37,38,60,60,44 :: 0,0,0,0,0
20,7,5,3,3 :: 21,8,5,16,3 :: 0,0,0,0,0
20,18,20,4,3 :: 6,2,2,4,2 :: 0,0,0,0,0
2,15,5,4,8 :: 7,8,2,1,2 :: 0,0,0,0,0
20,20,2,3,4 :: 34,29,34,7,13 :: 0,0,0,0,0
20,20,19,20,13 :: 47,23,60,60,60 :: 0,0,0,0,0
20,7,16,12,15 :: 60,36,24,60,25 :: 0,0,0,0,0
7,8,13,4,3 :: 2,43,3,2,21 :: 0,0,0,0,0
4,13,5,8,7 :: 7,10,20,19,12 :: 0,0,0,0,0
20,20,20,20,20 :: 60,60,60,60,60 :: 0,0,0,0,0
20,20,19,20,20 :: 60,37,60,60,60 :: 0,0,0,0,0
20,15,15,19,14 :: 60,55,27,37,25 :: 0,0,0,0,0
3,1,1,1,1 :: 60,4,2,1,1 :: 0,0,0,0,0
20,20,20,8,20 :: 44,39,32,40,36 :: 0,0,0,0,0
12,2,3,1,3 :: 4,15,21,9,6 :: 0,0,0,0,0
20,16,14,20,9 :: 30,23,36,24,36 :: 0,0,0,0,0
16,12,15,14,12 :: 36,26,33,32,36 :: 0,0,0,0,0
20,16,20,17,11 :: 44,27,20,37,47 :: 0,0,0,0,0
20,14,20,19,13 :: 24,20,34,34,44 :: 0,0,0,0,0
20,20,20,20,20 :: 27,4,2,2,2 :: 0,0,0,0,0
20,20,8,8,20 :: 16,27,35,23,42 :: 0,0,0,0,0
14,15,7,17,20 :: 31,22,18,21,10 :: 0,0,0,0,0
20,2,20,17,20 :: 13,3,2,2,2 :: 0,0,0,0,0
17,18,6,11,3 :: 40,9,19,18,10 :: 0,0,0,0,0
20,20,9,20,19 :: 28,10,12,8,12 :: 0,0,0,0,0
20,14,5,20,5 :: 14,26,6,6,9 :: 0,0,0,0,0
20,20,17,20,14 :: 39,23,25,19,27 :: 0,0,0,0,0
18,5,20,20,18 :: 13,14,16,11,11 :: 0,0,0,0,0
3,1,1,1,2 :: 2,2,2,3,1 :: 0,0,0,0,0
5,5,4,4,3 :: 10,7,27,23,7 :: 0,0,0,0,0
16,20,15,12,17 :: 25,32,39,42,57 :: 0,0,0,0,0
20,20,20,20,20 :: 28,49,30,34,34 :: 0,0,0,0,0
20,20,19,20,15 :: 3,1,2,1,1 :: 0,0,0,0,0
20,17,20,20,20 :: 49,25,60,60,60 :: 0,0,0,0,0
20,15,18,19,6 :: 11,11,60,53,52 :: 0,0,0,0,0
20,4,3,3,3 :: 32,19,17,15,7 :: 0,0,0,0,0
20,20,20,18,13 :: 32,38,47,42,7 :: 0,0,0,0,0
20,6,13,20,20 :: 11,27,36,26,31 :: 0,0,0,0,0
