Acc_isANodeConnectedToANamedNode_NL,Acc_isANodeConnectedToANamedNode_MAT
0.8,0.6
0.6,1.0
0.6,0.6
1.0,0.4
0.8,0.6
1.0,0.8
1.0,0.8
1.0,0.8
0.6,0.4
0.6,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.8
0.8,0.6
0.8,0.8
0.8,0.6
1.0,0.4
0.8,0.6
0.6,0.4
0.8,0.8
1.0,0.4
0.2,0.4
0.8,1.0
1.0,0.8
0.8,0.4
1.0,0.6
0.8,0.6
1.0,1.0
1.0,0.0
0.8,0.8
0.8,1.0
0.8,0.4
1.0,0.8
0.8,1.0
1.0,0.8
1.0,0.6
0.8,0.6
1.0,0.8
1.0,0.8
0.6,0.6
0.8,0.2
0.8,0.4
1.0,0.8
0.8,0.6
1.0,0.2
1.0,1.0
0.4,0.8
1.0,0.6
1.0,0.6
1.0,1.0


Acc_shortestPathBetween2Nodes_NL,Acc_shortestPathBetween2Nodes_MAT
0.4,0.0
0.2,0.4
0.2,0.0
0.2,0.4
0.2,0.4
0.0,0.4
0.4,0.0
0.4,0.2
0.2,0.0
0.0,0.0
0.4,0.2
0.0,0.6
0.6,0.2
0.4,0.2
0.4,0.0
0.0,0.0
0.6,0.2
0.4,0.0
0.2,0.0
0.0,0.2
0.6,0.2
0.0,0.0
0.2,0.2
0.2,0.0
0.2,0.0
0.4,0.2
0.4,0.0
0.6,0.4
0.2,0.8
0.4,0.0
0.2,0.0
0.0,0.0
0.0,0.4
0.6,0.6
0.4,0.0
0.8,0.2
0.2,0.0
0.2,0.4
0.2,0.0
0.8,0.0
0.4,0.2
0.4,0.0
0.4,0.2
0.6,0.4
0.2,0.0
0.6,0.4
0.8,0.0
0.0,0.6
0.4,0.0
0.2,0.2
0.4,0.0


Acc_areTwoNamedNodesConnected_NL,Acc_areTwoNamedNodesConnected_MAT
0.6,1.0
1.0,1.0
0.6,0.6
0.6,0.6
0.6,0.6
1.0,0.4
0.6,0.4
0.8,1.0
0.6,0.4
0.4,0.6
0.8,0.6
0.6,1.0
1.0,1.0
0.6,0.8
0.8,1.0
0.8,0.6
0.6,0.2
1.0,0.4
0.8,0.8
0.8,0.8
1.0,0.6
0.8,0.4
1.0,0.2
0.6,0.6
0.6,0.2
0.6,0.6
0.8,0.2
0.6,0.0
0.8,0.6
0.6,1.0
0.6,0.6
0.8,1.0
1.0,0.8
1.0,0.6
0.4,0.8
0.8,0.8
0.8,0.6
1.0,0.8
0.6,0.4
0.4,0.4
0.8,0.4
0.4,0.8
0.6,0.8
0.8,0.8
1.0,0.4
0.8,0.6
1.0,0.4
0.2,0.6
0.4,1.0
0.2,0.8
0.8,0.4


Time_isANodeConnectedToANamedNode_NL,Time_isANodeConnectedToANamedNode_MAT
15.6,18.6
6.6,16.8
20.0,20.0
13.2,8.4
15.6,18.4
14.4,19.2
15.0,19.2
15.0,15.6
15.0,1.6
20.0,5.0
16.0,9.4
18.2,17.4
11.0,7.8
14.2,17.0
19.2,7.6
20.0,13.0
14.6,6.8
18.8,9.8
18.2,18.4
1.4,14.0
17.2,7.0
10.0,7.4
16.6,20.0
18.4,19.8
19.6,16.6
15.6,1.4
12.6,17.6
14.4,4.2
20.0,15.8
15.0,13.8
13.8,16.8
19.6,17.2
17.8,20.0
13.2,15.2
12.6,14.6
15.2,15.8
14.6,11.0
17.8,17.6
13.8,12.8
18.0,18.2
20.0,16.2
15.4,1.6
17.4,4.2
14.2,16.0
18.8,20.0
9.8,18.8
14.4,19.4
5.4,15.6
13.4,6.6
15.2,18.2
16.4,15.8


Time_shortestPathBetween2Nodes_NL,Time_shortestPathBetween2Nodes_MAT
25.2,21.0
42.2,34.0
44.0,59.0
40.2,6.6
41.8,40.6
14.6,30.2
19.2,26.6
19.0,39.6
16.0,3.4
53.6,10.0
19.8,5.6
38.4,40.2
37.8,3.6
43.2,47.8
48.6,10.6
52.4,3.2
44.6,4.0
38.0,23.4
35.2,50.0
2.4,41.0
35.4,14.2
12.0,13.6
16.6,60.0
43.8,55.4
53.6,40.8
40.0,13.6
47.0,38.2
39.0,11.0
51.8,29.8
34.6,32.6
29.0,35.0
53.4,31.2
45.6,7.4
36.8,28.6
26.0,20.4
35.0,4.4
28.6,19.2
51.0,14.0
29.8,12.2
36.2,26.6
60.0,13.0
39.8,2.0
32.2,14.8
36.8,39.0
47.2,35.0
23.0,1.6
20.2,50.8
7.8,37.4
46.2,18.0
17.4,33.2
49.8,26.2


Time_areTwoNamedNodesConnected_NL,Time_areTwoNamedNodesConnected_MAT
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0


