NamedConn_NL_ACC,TwoJump_NL_ACC,Memory_NL_ACC
0.8,0.738961039,0
0.6,0.726753247,0
0.8,0.11995671,0.2
0.8,0.331212121,0
0.6,0.382640693,0
1,0.515627706,0
0.2,0.209350649,0
0.6,0.247705628,0.3
1,0.418614719,0
0.8,0.912770563,0.2
0.4,0.544545455,0
0.8,0.800692641,0
1,0.198268398,0.1
1,0.961558442,0.1
0.8,0.638225108,0.4
1,0.591601732,0
0.8,0.11995671,0
0.8,0.889134199,0
1,0.924718615,0
0.8,0.880909091,0.6
1,0.93047619,0.9
0.6,0.247835498,0.3
0.6,0.216926407,0.1
1,0.08995671,0.1
1,0.884372294,0.5
1,0.924415584,0.2
1,0.15995671,0.1
0.8,0.137099567,0.2
0.6,0.346017316,0.3
1,0.296450216,0.2
1,0.787662338,0
1,0.911428571,0.9
1,0.830735931,0.3
1,0.784718615,0
1,0.926320346,0.1
1,0.719437229,0.3
0.8,0.758571429,0.2
1,0.8304329,0.1
0.8,0.794112554,0.2
0.8,0.908354978,0.5
1,0.886103896,0.1
1,0.881601732,0.3
0.6,0.273896104,0.5
1,0.882510823,0.2
1,0.76952381,0.4
0.8,0.91025974,0.1
1,0.882943723,0.3
0.8,0.13995671,0.4
0.8,0.819480519,0.2
0.8,0.2,0.4
0.8,0,0.206
0.8,0,0.030826705
