Please enter your Mechanical Turk ID_NL		Do you have any feedback,comment or what issue did you had in this study?_NL		OrderOfConditions		WindowWidth		WindowHeight		OffFocusTime		UserAccuracyInfo		UserTimeInfo		ColorBlindessTestAnswers		DateAndTime
AVXVNAV449NM1		very confusing		 : NL : MAT		1600		775		notRecorded		0.8,0.0,0.0		27.4,43.8,0.0		12,29,3,74,45,7,23,42		Wed Dec 09 2015 19:32:12 GMT-0600 (Central Standard Time)
ABLM7XV2IQ6D9		I was confused at the end 		 : MAT : NL		1920		971		notRecorded		1.0,0.0,0.0		22.6,23.4,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 22:04:15 GMT-0500 (Eastern Standard Time)
A2RM9V1K7SS0PN		The interface used for this made it really difficult to move around the map. I had to keep scrolling the page up and down, even when using the movement feature or zoom feature. 		 : NL : MAT		1366		643		notRecorded		0.6,0.0,0.0		31.0,18.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 22:47:10 GMT-0500 (Eastern Standard Time)
mershack		testing		 : MAT : NL		1600		755		notRecorded		0.2,0.0,0.0		1.2,1.0,0.0		1,1,1,1,1,1,1,1		Thu Dec 10 2015 08:08:36 GMT-0500 (Eastern Standard Time)
A3485IQYNO94GA		no		 : NL : MAT		1366		657		notRecorded		0.8,0.0,0.0		34.0,15.8,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 20:17:04 GMT 0530 (India Standard Time)
A1XH05IKC77OXO		i have some little hard to find answer		 : NL : MAT		1536		764		notRecorded		0.8,0.0,0.0		30.6,11.8,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 20:19:55 GMT 0530 (India Standard Time)
A2TT6FAIWFD25N		Nice study and need to take some time to finish.		 : NL : MAT		1366		643		notRecorded		0.6,0.0,0.0		28.4,10.0,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 20:20:14 GMT 0530 (India Standard Time)
A1JVUD5XUB9H48		The second part of the questions were confusing.		 : NL : MAT		1242		585		notRecorded		1.0,0.2,0.0		27.2,29.0,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 20:22:31 GMT 0530 (India Standard Time)
A2O200JODCD036 		no		 : NL : MAT		1366		667		notRecorded		0.2,0.0,0.06666666666666667		33.0,33.0,33.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 20:23:27 GMT 0530 (India Standard Time)
A1MIR0TP081SKT		The instructions are not clear in the second and third part.		 : NL : MAT		1366		643		notRecorded		1.0,0.0,0.0		37.6,31.6,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 20:26:51 GMT 0530 (India Standard Time)
AL8NYDL4JOYL3		None		 : NL : MAT		1366		667		notRecorded		0.6,0.0,0.0		36.8,20.4,0.0		12,29,3,74,45,7,23,42		Thu Dec 10 2015 20:26:40 GMT 0530 (India Standard Time)
A2R40R4O6G0YBY		I could not remember any of the dishes.		 : MAT : NL		1152		773		notRecorded		0.6,0.0,0.0		43.4,46.2,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 09:08:08 GMT-0600 (Central Standard Time)
AUI3R928P63B0		nice study		 : NL : MAT		1360		643		notRecorded		0.8,0.4,0.0		31.4,48.2,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 20:38:41 GMT 0530 (India Standard Time)
mershack 		tesitanieao		 : MAT : NL		1600		799		notRecorded		0.4,0.0,0.0		1.8,1.0,0.0		1,1,1,1,1,1,1,1		Thu Dec 10 2015 10:32:37 GMT-0500 (Eastern Standard Time)
