source,target
1984,Fahrenheit 451
1984,Brave New(-)World
1984,Catch-22
1984,The Catcher in(-)the Rye
1984,Slaughterhouse-Five: A(-)Novel
1984,Nineteen Eighty-Four
1984,Huxley's Brave New(-)World 
1984,Golding's the Lord of(-)the Flies 
Fahrenheit 451,Animal Farm
Fahrenheit 451,Slaughterhouse-Five: A(-)Novel
Fahrenheit 451,The Catcher in(-)the Rye
Fahrenheit 451,Catch-22
Fahrenheit 451,Brave New(-)World
Brave New(-)World,Animal Farm
Brave New(-)World,Catch-22
Brave New(-)World,Slaughterhouse-Five: A(-)Novel
Brave New(-)World,A Clockwork(-)Orange
Catch-22,Slaughterhouse-Five: A(-)Novel
Catch-22,The Catcher in(-)the Rye
Catch-22,A Clockwork(-)Orange
The Catcher in(-)the Rye,The Great(-)Gatsby
The Catcher in(-)the Rye,Of Mice and(-)Men 
The Catcher in(-)the Rye,Lord of the(-)Flies 
The Catcher in(-)the Rye,Golding's the Lord of(-)the Flies 
Slaughterhouse-Five: A(-)Novel,Cat's Cradle:(-)A Novel
Slaughterhouse-Five: A(-)Novel,The Catcher in(-)the Rye
Slaughterhouse-Five: A(-)Novel,Breakfast of Champions:(-)A Novel
Animal Farm,Lord of the(-)Flies 
Animal Farm,To Kill(-)a Mockingbird
Animal Farm,The Catcher in(-)the Rye
Animal Farm,Of Mice and(-)Men 
Animal Farm,1984
A Clockwork(-)Orange,Slaughterhouse-Five: A(-)Novel
A Clockwork(-)Orange,Fahrenheit 451
A Clockwork(-)Orange,1984
A Clockwork(-)Orange,One Flew Over the(-)Cuckoo's Nest: 
A Clockwork(-)Orange,The Catcher in(-)the Rye
The Great(-)Gatsby,The Adventures of(-)Huckleberry Finn
The Great(-)Gatsby,Their Eyes Were(-)Watching God
The Great(-)Gatsby,Of Mice and(-)Men 
The Great(-)Gatsby,The Grapes of(-)Wrath 
The Great(-)Gatsby,Death of a(-)Salesman 
Of Mice and(-)Men ,Lord of the(-)Flies 
Of Mice and(-)Men ,The Grapes of(-)Wrath 
Of Mice and(-)Men ,Of Mice and(-)Men 
Of Mice and(-)Men ,Night 
Lord of the(-)Flies ,To Kill(-)a Mockingbird
Lord of the(-)Flies ,Fahrenheit 451
Lord of the(-)Flies ,1984
Lord of the(-)Flies ,Lord of the(-)Flies 
Lord of the(-)Flies ,Catch-22
Cat's Cradle:(-)A Novel,Breakfast of Champions:(-)A Novel
Cat's Cradle:(-)A Novel,The Sirens of Titan:(-)A Novel
Cat's Cradle:(-)A Novel,Mother Night:(-)A Novel
Cat's Cradle:(-)A Novel,Welcome to the Monkey(-)House: Stories
Breakfast of Champions:(-)A Novel,The Sirens of Titan:(-)A Novel
Breakfast of Champions:(-)A Novel,Mother Night:(-)A Novel
Breakfast of Champions:(-)A Novel,Welcome to the Monkey(-)House: Stories
To Kill(-)a Mockingbird,The Catcher in(-)the Rye
To Kill(-)a Mockingbird,Of Mice and(-)Men 
To Kill(-)a Mockingbird,Fahrenheit 451
To Kill(-)a Mockingbird,To Kill(-)a Mockingbird
To Kill(-)a Mockingbird,Romeo and(-)Juliet 
To Kill(-)a Mockingbird,Golding's the Lord of(-)the Flies 
One Flew Over the(-)Cuckoo's Nest: ,Catch-22
One Flew Over the(-)Cuckoo's Nest: ,The Catcher in(-)the Rye
One Flew Over the(-)Cuckoo's Nest: ,Slaughterhouse-Five: A(-)Novel
One Flew Over the(-)Cuckoo's Nest: ,The Great(-)Gatsby
One Flew Over the(-)Cuckoo's Nest: ,Fahrenheit 451
The Adventures of(-)Huckleberry Finn,The Catcher in(-)the Rye
The Adventures of(-)Huckleberry Finn,The Scarlet(-)Letter
The Adventures of(-)Huckleberry Finn,The Crucible(-)
The Adventures of(-)Huckleberry Finn,To Kill(-)a Mockingbird
The Adventures of(-)Huckleberry Finn,Of Mice and(-)Men 
The Adventures of(-)Huckleberry Finn,Hawthorne's The Scarlet(-)Letter 
Their Eyes Were(-)Watching God,Invisible Man
Their Eyes Were(-)Watching God,The Things(-)They Carried
Their Eyes Were(-)Watching God,The Adventures of(-)Huckleberry Finn
Their Eyes Were(-)Watching God,Their Eyes Were(-)Watching God
Their Eyes Were(-)Watching God,Their Eyes Were Watching(-)God CD
Their Eyes Were(-)Watching God,Fitzgerald's The Great(-)Gatsby 
The Grapes of(-)Wrath ,The Catcher in(-)the Rye
The Grapes of(-)Wrath ,East of(-)Eden
The Grapes of(-)Wrath ,To Kill(-)a Mockingbird
The Grapes of(-)Wrath ,The Adventures of(-)Huckleberry Finn
The Grapes of(-)Wrath ,Their Eyes Were(-)Watching God
Death of a(-)Salesman ,The Adventures of(-)Huckleberry Finn
Death of a(-)Salesman ,The Glass(-)Menagerie
Death of a(-)Salesman ,A Streetcar(-)Named Desire
Death of a(-)Salesman ,The Catcher in(-)the Rye
Death of a(-)Salesman ,A Raisin in(-)the Sun
The Sirens of Titan:(-)A Novel,Mother Night:(-)A Novel
The Sirens of Titan:(-)A Novel,Slaughterhouse-Five: A(-)Novel
The Sirens of Titan:(-)A Novel,Player Piano
Mother Night:(-)A Novel,Slaughterhouse-Five: A(-)Novel
Mother Night:(-)A Novel,God Bless You -(-)Mr. Rosewater
Mother Night:(-)A Novel,Welcome to the Monkey(-)House: Stories
Welcome to the Monkey(-)House: Stories,Slaughterhouse-Five: A(-)Novel
Welcome to the Monkey(-)House: Stories,The Sirens of Titan:(-)A Novel
Welcome to the Monkey(-)House: Stories,God Bless You -(-)Mr. Rosewater
The Scarlet(-)Letter,The Crucible(-)
The Scarlet(-)Letter,The Catcher in(-)the Rye
The Scarlet(-)Letter,Their Eyes Were(-)Watching God
The Scarlet(-)Letter,The Grapes of(-)Wrath 
The Crucible(-),The Catcher in(-)the Rye
The Crucible(-),Of Mice and(-)Men 
The Crucible(-),Their Eyes Were(-)Watching God
The Crucible(-),The Crucible(-)
The Crucible(-),The Great(-)Gatsby
The Crucible(-),To Kill(-)a Mockingbird
Invisible Man,The Great(-)Gatsby
Invisible Man,Beloved
Invisible Man,Native Son
Invisible Man,Catch-22
Invisible Man,Slaughterhouse-Five: A(-)Novel
Invisible Man,Invisible Man
Invisible Man,The Adventures of(-)Huckleberry Finn
Invisible Man,Their Eyes Were Watching(-)God CD
The Things(-)They Carried,The Great(-)Gatsby
The Things(-)They Carried,The Things(-)They Carried
The Things(-)They Carried,The Adventures of(-)Huckleberry Finn
The Things(-)They Carried,The Catcher in(-)the Rye
The Things(-)They Carried,Fitzgerald's The Great(-)Gatsby 
East of(-)Eden,Of Mice and(-)Men 
East of(-)Eden,Cannery Row:(-)
East of(-)Eden,Anna Karenina(-)
East of(-)Eden,The Catcher in(-)the Rye
East of(-)Eden,The Great(-)Gatsby
The Glass(-)Menagerie,A Streetcar(-)Named Desire
The Glass(-)Menagerie,A Raisin in(-)the Sun
The Glass(-)Menagerie,The Adventures of(-)Huckleberry Finn
The Glass(-)Menagerie,The Crucible(-)
A Streetcar(-)Named Desire,Long Day's Journey(-)into Night
A Streetcar(-)Named Desire,Who's Afraid of(-)Virginia Woolf?
A Streetcar(-)Named Desire,Their Eyes Were(-)Watching God
A Raisin in(-)the Sun,Of Mice and(-)Men 
A Raisin in(-)the Sun,To Kill(-)a Mockingbird
A Raisin in(-)the Sun,The Catcher in(-)the Rye
