name	x	y
A 0	290.4138766	615.4511607
A 1	349.3722404	168.426497
A 2	573.8377032	578.3528345
A 3	465.489492	397.9127506
A 4	525.9401489	608.6856777
A 5	303.1629568	323.0498432
A 6	443.0104773	464.2526917
A 7	418.9045117	318.3458136
A 8	464.770098	222.3525567
A 9	511.7771882	304.7531633
B 0	370.8375076	120.3247354
B 1	220.4323532	515.8392724
B 2	225.9726955	355.6744254
B 3	467.8459914	539.7026793
B 4	388.0941793	341.6573735
B 5	569.576738	545.0366227
B 6	236.8576688	479.423407
B 7	467.6299554	297.0962004
B 8	213.6672237	491.9931417
B 9	284.0868234	423.8690357
C 0	219.7619895	689.2318696
C 1	402.6670638	505.1117106
C 2	662.3370129	540.4895201
C 3	411.9585752	584.0837103
C 4	301.091	427.1756607
C 5	246.133268	545.6429865
C 6	555.9377474	398.4384732
C 7	431.1462674	497.4151601
C 8	529.4821141	573.7059883
C 9	241.386091	427.6522648
D 0	512.7554104	425.0119689
D 1	285.187399	519.7254146
D 2	457.8118031	561.7578642
D 3	391.901215	262.2492093
D 4	321.9392252	223.7019602
D 5	452.8041616	156.4366426
D 6	512.7278054	505.9128558
D 7	621.9436782	620.1083405
D 8	364.5987311	580.3274112
D 9	432.5997191	73.59471535
E 0	324.8417886	575.9799182
E 1	578.3881433	270.4951165
E 2	230.2446318	564.0663823
E 3	259.6828146	584.3577528
E 4	469.5182023	430.2790589
E 5	370.7581873	540.4995955
E 6	735.5745107	429.0670192
E 7	132.2886875	204.5832678
E 8	386.9861158	644.0060756
E 9	176.1053989	639.8374604
F 0	117.8260362	386.9054907
F 1	625.0196257	371.3479801
F 2	172.9948033	152.4476607
F 3	175.0528499	513.5116862
F 4	38.07626361	389.0568217
F 5	328.2909959	551.2730289
F 6	336.1419024	508.355756
F 7	487.8512378	285.6588945
F 8	473.9152637	583.9750555
F 9	197.8413303	444.8827838
G 0	516.3305377	341.5562381
G 1	554.5271152	432.3178675
G 2	99.22661653	444.4706061
G 3	528.7346307	379.2922123
G 4	473.1793023	362.936525
G 5	539.6650031	512.4343812
G 6	256.9383522	485.845788
G 7	543.053374	322.5897128
G 8	673.1938603	591.3028238
G 9	543.6651243	631.4689622
H 0	658.6983723	460.7497098
H 1	325.02693	191.2708516
H 2	324.8303323	119.4981812
H 3	404.1647762	543.9225548
H 4	218.780184	232.0868948
H 5	292.1635789	220.9469023
H 6	347.2232474	298.3996047
H 7	643.3336492	209.6775365
H 8	407.1726168	198.0940034
H 9	211.2593088	289.5561239
I 0	319.5875427	608.202025
I 1	289.6295337	461.1361283
I 2	628.3988339	289.2730867
I 3	617.2932225	336.9647851
I 4	674.1786033	390.5261269
I 5	292.2668218	488.9091117
I 6	356.2366245	478.0395411
I 7	565.3056837	361.2856057
I 8	649.3045031	441.1902395
I 9	402.0704497	441.1690356
J 0	571.7260854	474.7616674
J 1	644.7246684	604.810445
J 2	289.2586689	553.5719687
J 3	374.7686745	206.8464292
J 4	346.458669	372.6938513
J 5	438.0954942	515.5190166
J 6	250.9016817	632.1076891
J 7	449.2245217	611.1227183
J 8	391.5327674	143.3136304
J 9	276.9741753	402.0557272
