source,target
Adam Sandler,Chris Rock
Adam Sandler,Steve Buscemi
Al Pacino,Diane Keaton
Al Pacino,James Caan
Al Pacino,Robert De Niro
Al Pacino,Talia Shire
Alan Rickman,Daniel radcliffe
Alan Rickman,Emma Watson
Alan Rickman,gary Oldman
Alan Rickman,Helena Bonham Carter
Alan Rickman,Liam Neeson
Alan Rickman,Ralph Fiennes
Alec Baldwin,Joan Cusack
Angelina Jolie,Brad Pitt
Angelina Jolie,Jack Black
Antonio Banderas,Cameron Diaz
Antonio Banderas,Carla Gugino
Antonio Banderas,Eddie Murphy
Antonio Banderas,Mike Myers
Antonio Banderas,Salma Hayek
Antonio Banderas,Steve Buscemi
Arnold Schwarzenegger,Danny DeVito
Arnold Schwarzenegger,Sylvester Stallone
Ben Affleck,Matt Damon
Ben Stiller,Chris Rock
Ben Stiller,David Cross
Ben Stiller,Jack Black
Ben Stiller,Jada Pinkett Smith
Ben Stiller,Jonah Hill
Ben Stiller,Owen Wilson
Ben Stiller,Robin Williams
Ben Stiller,Vince Vaughn
Ben Stiller,Will Ferrell
Bill Murray,Owen Wilson
Bonnie Hunt,Tom Hanks
Brad Pitt,Don Cheadle
Brad Pitt,George Clooney
Brad Pitt,Julia Roberts
Brad Pitt,Matt Damon
Bruce Willis,John Travolta
Bruce Willis,Samuel L. Jackson
Bruce Willis,Steve Buscemi
Burgess Meredith,Sylvester Stallone
Burgess Meredith,Talia Shire
Cameron Diaz,Eddie Murphy
Cameron Diaz,Mike Myers
Cate Blanchett,Christopher Lee
Cate Blanchett,Elijah Wood
Cate Blanchett,Hugo Weaving
Cate Blanchett,Ian McKellen
Cate Blanchett,Orlando Bloom
Charlton Heston,Christopher Lee
Charlton Heston,paul Newman
Chris Rock,Jada Pinkett Smith
Christina Ricci,Johnny Depp
Christopher Lee,Elijah Wood
Christopher Lee,Helena Bonham Carter
Christopher Lee,Hugo Weaving
Christopher Lee,Ian McKellen
Christopher Lee,Johnny Depp
Christopher Lee,Orlando Bloom
Daniel radcliffe,Emma Watson
Daniel radcliffe,gary Oldman
Daniel radcliffe,Helena Bonham Carter
Daniel radcliffe,Ralph Fiennes
Danny DeVito,Jack Nicholson
Danny DeVito,John Travolta
David Cross,Jack Black
David Cross,Seth Rogen
David Cross,Will Ferrell
Dean Stockwell,Dennis Hopper
Dennis Hopper,Laurence Fishburne
Dennis Hopper,Martin Sheen
Dennis Hopper,paul Newman
Dennis Hopper,Robert Duvall
Dennis Hopper,Seymour Cassel
Diane Keaton,James Caan
Diane Keaton,Talia Shire
Don Cheadle,George Clooney
Don Cheadle,Matt Damon
Don Cheadle,Samuel L. Jackson
Donald Sutherland,Elizabeth Banks
Donald Sutherland,Jennifer Lawrence
Donald Sutherland,Woody Harrelson
Dustin Hoffman,Jack Black
Dustin Hoffman,Kathy Bates
Dustin Hoffman,M. Emmet Walsh
Dustin Hoffman,Robert De Niro
Eddie Murphy,Mike Myers
Elijah Wood,Hugo Weaving
Elijah Wood,Ian McKellen
Elijah Wood,Orlando Bloom
Elizabeth Banks,Jennifer Lawrence
Elizabeth Banks,Paul Rudd
Elizabeth Banks,Woody Harrelson
Elliott Gould,Karen Black
Elliott Gould,Matt Damon
Emma Watson,gary Oldman
Emma Watson,Helena Bonham Carter
Emma Watson,Ralph Fiennes
Famke Janssen,Hugh Jackman
Famke Janssen,Ian McKellen
Famke Janssen,Patrick Stewart
gary Oldman,Ralph Fiennes
Gary Sinise,Tom Hanks
Geoffrey Rush,Johnny Depp
Geoffrey Rush,Orlando Bloom
George Clooney,Matt Damon
Gwyneth Paltrow,Jon Favreau
Gwyneth Paltrow,Robert Downey Jr.
Halle Berry,Hugh Jackman
Halle Berry,Ian McKellen
Halle Berry,Patrick Stewart
Harry Dean Stanton,Johnny Depp
Harvey Keitel,Robert De Niro
Helena Bonham Carter,Johnny Depp
Hugh Jackman,Ian McKellen
Hugh Jackman,Patrick Stewart
Hugo Weaving,Ian McKellen
Hugo Weaving,Keanu Reeves
Hugo Weaving,Orlando Bloom
Ian McKellen,Orlando Bloom
Ian McKellen,Patrick Stewart
Ian McKellen,Sean Bean
Jack Black,Seth Rogen
James Caan,Robert Duvall
James Caan,Talia Shire
Jason Bateman,Vince Vaughn
Jennifer Lawrence,Woody Harrelson
Joan Cusack,John Cusack
Joan Cusack,Tim Allen
Joan Cusack,Tom Hanks
Joe Pesci,Robert De Niro
John Cusack,Steve Buscemi
Jon Favreau,Robert Downey Jr.
Jon Favreau,Vince Vaughn
Jon Voight,Robert Duvall
Jonah Hill,Paul Rudd
Jonah Hill,Seth Rogen
Jonah Hill,Steve Carell
Julianne Moore,Woody Harrelson
Keanu Reeves,Laurence Fishburne
Laurence Fishburne,Martin Sheen
Liam Neeson,Ralph Fiennes
Michael Keaton,Samuel L. Jackson
Michael Keaton,Tim Allen
Michael Keaton,Tom Hanks
Natalie Portman,Samuel L. Jackson
Orlando Bloom,Sean Bean
Owen Wilson,Vince Vaughn
Owen Wilson,Will Ferrell
paul Newman,Robert Wagner
Paul Rudd,Seth Rogen
Paul Rudd,Steve Carell
Peter Falk,Seymour Cassel
Robert Downey Jr.,Samuel L. Jackson
Robert Downey Jr.,Scarlett Johansson
Salma Hayek,Steve Buscemi
Samuel L. Jackson,Scarlett Johansson
Seth Rogen,Steve Carell
Seymour Cassel,Steve Buscemi
Sylvester Stallone,Talia Shire
Tim Allen,Tom Hanks
Vince Vaughn,Will Ferrell
