name	x	y
Kathy Bates	558.7563795502031	592.8299364165046
Christina Ricci	330.52312667218564	247.0290286528084
Gary Sinise	509.7191906709511	185.0150476181027
Julia Roberts	668.9975221379268	332.4539489026823
Robert Duvall	343.0483035332368	574.9012781450072
Elliott Gould	636.4323362280958	263.4832312127734
Seth Rogen	488.1775856885307	438.8855324142798
Talia Shire	471.8456418052835	585.5940760122119
Ben Stiller	483.8547262452655	460.5863129432621
paul Newman	255.63485067941826	427.9634442708191
Sylvester Stallone	549.1175477809537	546.6441844084924
Karen Black	580.5888426638522	206.19864568413624
Famke Janssen	194.83630101082605	380.58054923017426
Emma Watson	435.91485767281637	202.91344232798696
Laurence Fishburne	288.2248206129458	412.11365704051286
Peter Falk	253.89978321482315	601.8432069224016
Joe Pesci	645.70834239403	542.2843853333591
Jack Nicholson	634.4828806400769	417.81700045056425
Antonio Banderas	226.7533442228698	496.7980353612682
Carla Gugino	222.6187967034245	577.2920841991692
Robert De Niro	585.7600808894504	597.6328143362074
Liam Neeson	461.08485496240274	185.5180097908339
Donald Sutherland	369.1030511602475	631.8417350531261
Robert Downey Jr.	419.8796861093316	278.4689097943208
Sean Bean	184.57098290934692	234.15847236413398
Steve Carell	388.3701347226843	435.5062936761289
Geoffrey Rush	210.7788208664965	166.91368984313044
Jason Bateman	349.46020403680245	471.80054887947773
Arnold Schwarzenegger	595.5215845065408	472.2859373195969
Hugo Weaving	270.3085179856232	308.7415983723712
Harvey Keitel	622.1945962448984	523.2494345246477
Elijah Wood	217.58093678012327	223.69353428226316
Woody Harrelson	299.0147664527961	566.5526278127471
Patrick Stewart	150.43506435796286	301.70837350565483
Bonnie Hunt	529.5316957102276	221.14049513409626
Bill Murray	410.2154608894449	579.2845998236991
Owen Wilson	395.73705013105314	497.8154966429472
Robert Wagner	172.26759649052872	420.6483407300276
John Travolta	471.1812949709682	387.5779120533032
Helena Bonham Carter	357.93979770257056	211.86080187118827
Salma Hayek	224.04087642979593	418.0976337351666
Jennifer Lawrence	302.4508649235177	631.5803784366606
Harry Dean Stanton	365.9269599641162	167.58964901700574
Dennis Hopper	306.02627293278886	494.96941101227
Brad Pitt	605.0155060095292	283.55539074208485
Tim Allen	452.0079120331449	320.7533202685962
Seymour Cassel	240.0350060486457	521.5723679442461
Samuel L. Jackson	464.7240248011419	347.4946681565957
Diane Keaton	454.16310448305	677.7485863544628
Dustin Hoffman	585.7768005170216	514.5365776603404
Jada Pinkett Smith	499.6689244791616	541.5428327547957
Danny DeVito	553.3758372126587	397.6580221521893
Scarlett Johansson	500.63402554430974	273.8957287396627
Orlando Bloom	264.7439244993437	221.25104707207268
Vince Vaughn	420.19103311704214	432.8914335906235
Natalie Portman	470.71723952176586	267.5158883527261
George Clooney	583.7517213346363	378.6006737821454
Martin Sheen	229.06328195216162	467.68815705455495
Al Pacino	511.5917139366011	641.187668689752
Tom Hanks	450.0167931254248	242.33128023323053
Eddie Murphy	136.80692383071624	515.2379228567129
James Caan	413.7410177950056	626.8152705352111
Hugh Jackman	135.51697439424902	360.7556522482582
Ben Affleck	578.4469075308903	291.144229478539
Ian McKellen	217.81808335344664	306.6973151204461
Steve Buscemi	299.62659125006024	452.3844239115848
Paul Rudd	429.22794272470685	488.09972114053767
Halle Berry	208.96460037057346	374.27198793160073
Jack Black	565.3679292434545	432.43095120496105
Johnny Depp	287.4864204362478	181.0767039634871
David Cross	539.8924376163466	507.35491212661526
Matt Damon	639.8809764992812	344.3467549734672
Don Cheadle	545.7511226371969	326.1265674651754
Angelina Jolie	612.5767861676687	364.97603768951257
Elizabeth Banks	373.11412936969947	559.5964787389279
Charlton Heston	263.4943235636574	343.0150084359369
Adam Sandler	339.9919416812463	523.2887356911173
Will Ferrell	458.1748717817126	526.1574507522577
Robin Williams	563.9482753111977	460.33105971947384
Chris Rock	423.4491775823793	521.7271075774692
Christopher Lee	292.8254881375197	263.46479546352896
Bruce Willis	383.0463995554255	397.01618388313796
Burgess Meredith	484.35483836793014	503.6797773705686
Julianne Moore	329.54832423493633	642.8101387779144
Joan Cusack	379.14003095552033	293.04768886291066
Ralph Fiennes	379.5764942602584	205.70065601201532
Cameron Diaz	164.96172862119957	459.2272334455438
Gwyneth Paltrow	340.16587563616696	293.94660372205834
John Cusack	327.12743107611334	368.34313223376984
Dean Stockwell	327.12468741071854	416.8330876357833
M. Emmet Walsh	529.3227084872374	577.2705675977649
Cate Blanchett	193.0216224693272	264.3283702789065
Jonah Hill	437.96367459995037	392.20290310341113
Keanu Reeves	338.59290026999156	344.71250892138346
Michael Keaton	522.0942063552523	287.0942422595694
Daniel radcliffe	354.46525433073606	140.41238256645755
gary Oldman	456.2607220191018	144.4353084102109
Alan Rickman	404.8351997683368	129.88959204928983
Mike Myers	187.25150791978163	555.7665681026257
Jon Favreau	395.3969687809036	353.4961111579446
