name	x	y
Adam Sandler	513.2702034596535	290.482905008658
Chris Rock	453.17316491401857	270.3473744632644
Steve Buscemi	499.527031093411	235.1920366957787
Al Pacino	420.66475611046894	435.93352096152455
Diane Keaton	396.4307881046161	391.05324968649956
James Caan	352.99830381632086	407.31805256908365
Robert De Niro	366.6795798534016	412.05194697052923
Talia Shire	371.17387616667713	458.9439133476488
Alan Rickman	449.66160612126896	356.3866078869159
Daniel radcliffe	435.94685269645447	388.5267866953183
Emma Watson	487.69256303214456	342.17597356566057
gary Oldman	405.1195455895617	338.79336159961105
Helena Bonham Carter	494.53226658455895	403.6438897569246
John Hurt	457.6528617728188	293.6422105905922
Liam Neeson	390.45577993116746	325.21015850442325
Ralph Fiennes	443.92424554866653	306.156993667281
Alec Baldwin	589.7392582931876	266.577760005687
Joan Cusack	633.5208320119641	227.7475841463032
Angelina Jolie	460.8327577097098	447.5392861295798
Brad Pitt	523.3342836166037	464.8890614521483
Jack Black	420.13265731339874	396.0840958223836
Antonio Banderas	501.248561897448	176.7808508857797
Cameron Diaz	516.9669128359446	226.7796589885333
Carla Gugino	560.9805253988767	187.15114826148923
Eddie Murphy	550.2868679692895	162.69518940221005
Mike Myers	565.672772824	209.55535667002843
Salma Hayek	551.6147137399836	209.69099264689578
Arnold Schwarzenegger	389.3994053886532	342.0652718415808
Danny DeVito	402.36312097952543	272.2417996011177
Sylvester Stallone	404.22592040222133	409.703583500681
Ben Affleck	625.961407288868	400.92955076473663
Matt Damon	593.6801939855011	454.04485817724327
Ben Stiller	448.9000969508244	334.1941890102142
David Cross	471.59786447523607	382.8888076308377
Jada Pinkett Smith	398.36365717523756	295.5391241206886
Jonah Hill	418.9922097938816	279.95500963275356
Owen Wilson	498.8251969414118	308.5962836958741
Robin Williams	475.69671486546565	277.6884100260878
Vince Vaughn	485.32350252830213	381.52068554524976
Will Ferrell	520.9996081419417	348.89434406908737
Bill Murray	542.9585449897502	263.7708012010651
Dan Aykroyd	525.9190938643055	204.3183612688507
Billy Dee Williams	678.481680445472	366.812422196829
Carrie Fisher	634.9992440942192	328.38380904474957
Bonnie Hunt	577.8307410591971	319.5082672881676
Tom Hanks	626.4848093245332	284.48453491205527
Don Cheadle	556.3613920794297	414.3325733745599
George Clooney	565.7972986824091	493.5783509122511
Julia Roberts	513.9846547199812	523.5381888172064
Bruce Willis	532.4485571578687	290.4557062468534
John Travolta	469.69703633401525	258.5127408660852
Samuel L. Jackson	566.9865935345997	348.94022925964936
Burgess Meredith	430.5134623305789	469.38741978981847
Mark Hamill	659.4595040680775	274.89562185302566
Cate Blanchett	591.6717276610639	422.3857590743185
Christopher Lee	534.5473443813567	453.3866187623297
Elijah Wood	552.3399127274794	488.8237926162145
Hugo Weaving	558.4745251779743	424.90413107812293
Ian McKellen	611.1691045800908	454.5737906716287
Orlando Bloom	589.7244742425655	490.4295931177881
Charlton Heston	481.8969042798175	485.80961523923565
