source	target
Adam Sandler	Chris Rock
Adam Sandler	Steve Buscemi
Al Pacino	Diane Keaton
Al Pacino	James Caan
Al Pacino	Robert De Niro
Al Pacino	Robert Duvall
Al Pacino	Talia Shire
Alan Rickman	Daniel radcliffe
Alan Rickman	Emma Watson
Alan Rickman	gary Oldman
Alan Rickman	Helena Bonham Carter
Alan Rickman	John Hurt
Alan Rickman	Liam Neeson
Alan Rickman	Ralph Fiennes
Alec Baldwin	Ben Stiller
Alec Baldwin	Bill Murray
Alec Baldwin	Dan Aykroyd
Alec Baldwin	Gwyneth Paltrow
Alec Baldwin	Joan Cusack
Alec Baldwin	Kim Basinger
Amanda Seyfried	Franco Nero
Amanda Seyfried	Vanessa Redgrave
Angela Bassett	Samuel L. Jackson
Angelina Jolie	Brad Pitt
Angelina Jolie	David Cross
Angelina Jolie	Dustin Hoffman
Angelina Jolie	Jack Black
Angelina Jolie	James Hong
Angelina Jolie	Lucy Liu
Angelina Jolie	Seth Rogen
Annie Potts	Bill Murray
Annie Potts	Dan Aykroyd
Annie Potts	Tom Hanks
Anthony Quinn	Ernest Borgnine
Antonio Banderas	Bill Paxton
Antonio Banderas	Cameron Diaz
Antonio Banderas	Carla Gugino
Antonio Banderas	Eddie Murphy
Antonio Banderas	Julie Andrews
Antonio Banderas	Mike Myers
Antonio Banderas	Penelope Cruz
Antonio Banderas	Salma Hayek
Antonio Banderas	Steve Buscemi
Antonio Banderas	Sylvester Stallone
Arnold Schwarzenegger	Danny DeVito
Arnold Schwarzenegger	Jamie Lee Curtis
Arnold Schwarzenegger	Jason Statham
Arnold Schwarzenegger	Sylvester Stallone
Ben Affleck	Chris Rock
Ben Affleck	Jason Bateman
Ben Affleck	Matt Damon
Ben Gazzara	Peter Falk
Ben Gazzara	Seymour Cassel
Ben Stiller	Chris Rock
Ben Stiller	David Cross
Ben Stiller	Jack Black
Ben Stiller	Jada Pinkett Smith
Ben Stiller	Jason Bateman
Ben Stiller	Jonah Hill
Ben Stiller	Matt Damon
Ben Stiller	Mike Myers
Ben Stiller	Owen Wilson
Ben Stiller	Paul Rudd
Ben Stiller	Robert De Niro
Ben Stiller	Robert Downey Jr.
Ben Stiller	Robin Williams
Ben Stiller	Vince Vaughn
Ben Stiller	Will Ferrell
Bette Midler	Danny DeVito
Bill Murray	Cate Blanchett
Bill Murray	Dan Aykroyd
Bill Murray	Jeff Goldblum
Bill Murray	Johnny Depp
Bill Murray	Owen Wilson
Bill Murray	Rick Moranis
Bill Murray	Willem Dafoe
Billy Dee Williams	Carrie Fisher
Billy Dee Williams	Mark Hamill
Bonnie Hunt	Michael Keaton
Bonnie Hunt	Tim Allen
Bonnie Hunt	Tom Hanks
Brad Pitt	Cameron Diaz
Brad Pitt	Don Cheadle
Brad Pitt	Elliott Gould
Brad Pitt	George Clooney
Brad Pitt	Julia Roberts
Brad Pitt	Matt Damon
Brendan Fraser	Steve Buscemi
Brion James	Bruce Willis
Brion James	James Hong
Brion James	M. Emmet Walsh
Bruce Willis	Catherine Zeta-Jones
Bruce Willis	Elliott Gould
Bruce Willis	Harvey Keitel
Bruce Willis	John Travolta
Bruce Willis	Lucy Liu
Bruce Willis	Michael Clarke Duncan
Bruce Willis	Morgan Freeman
Bruce Willis	Robin Wright
Bruce Willis	Samuel L. Jackson
Bruce Willis	Steve Buscemi
Burgess Meredith	Eli Wallach
Burgess Meredith	Sylvester Stallone
Burgess Meredith	Talia Shire
Burt Lancaster	Kirk Douglas
Burt Lancaster	paul Newman
Burt Lancaster	Tony Curtis
Burt Reynolds	Charles Durning
Burt Reynolds	Henry Silva
Burt Reynolds	Rod Steiger
Cameron Diaz	Drew Barrymore
Cameron Diaz	Eddie Murphy
Cameron Diaz	Julie Andrews
Cameron Diaz	Lucy Liu
Cameron Diaz	Mike Myers
Cameron Diaz	Rupert Everett
Carla Gugino	Danny DeVito
Carla Gugino	Robert De Niro
Carrie Fisher	James Earl Jones
Carrie Fisher	Mark Hamill
Cate Blanchett	Christian Bale
Cate Blanchett	Christopher Lee
Cate Blanchett	Elijah Wood
Cate Blanchett	Hugo Weaving
Cate Blanchett	Ian McKellen
Cate Blanchett	Julianne Moore
Cate Blanchett	Liv Tyler
Cate Blanchett	Matt Damon
Cate Blanchett	Orlando Bloom
Cate Blanchett	Sean Astin
Cate Blanchett	Sean Bean
Cate Blanchett	Viggo Mortensen
Catherine O'Hara	Joe Pesci
Catherine O'Hara	Michael Keaton
Channing Tatum	Jonah Hill
Charles Bronson	Ed Lauter
Charles Bronson	Ernest Borgnine
Charles Bronson	James Coburn
Charles Durning	Robert Loggia
Charlize Theron	Mark Wahlberg
Charlize Theron	Woody Harrelson
Charlton Heston	Christopher Lee
Charlton Heston	Geraldine Chaplin
Charlton Heston	James Coburn
Charlton Heston	James Hong
Charlton Heston	Michael Clarke Duncan
Charlton Heston	paul Newman
Charlton Heston	Roddy McDowall
Charlton Heston	Susan Sarandon
Charlton Heston	Tony Curtis
Chris Rock	Jada Pinkett Smith
Chris Rock	Renee Zellweger
Chris Rock	Salma Hayek
Chris Rock	Whoopi Goldberg
Christian Bale	gary Oldman
Christian Bale	Michael Caine
Christian Bale	Morgan Freeman
Christian Slater	F. Murray Abraham
Christian Slater	Shia LaBeouf
Christina Ricci	Harry Dean Stanton
Christina Ricci	Johnny Depp
Christopher Lee	Elijah Wood
Christopher Lee	Frank Welker
Christopher Lee	Geraldine Chaplin
Christopher Lee	Helena Bonham Carter
Christopher Lee	Hugo Weaving
Christopher Lee	Ian McKellen
Christopher Lee	James Mason
Christopher Lee	Johnny Depp
Christopher Lee	Liv Tyler
Christopher Lee	Michael York
Christopher Lee	Orlando Bloom
Christopher Lee	Sean Astin
Christopher Lee	Sean Bean
Christopher Lee	Viggo Mortensen
Christopher Lloyd	Danny DeVito
Christopher Lloyd	Elisabeth Shue
Christopher Lloyd	Jack Nicholson
Christopher Lloyd	Lea Thompson
Christopher Lloyd	Michael J. Fox
Christopher Plummer	Colin Farrell
Christopher Plummer	Donald Sutherland
Christopher Plummer	Michael Caine
