name	x	y
1984	2470.4	1152.3
Fahrenheit 451	2524.5	1071.8
Brave New(-)World	2561.8	1159.8
Catch-22	2791.2	1096.5
The Catcher in(-)the Rye	2717.5	1008.5
Slaughterhouse-Five: A(-)Novel	3042	990.65
Golding's the Lord of(-)the Flies 	2190	1055.8
Nineteen Eighty-Four	2614.9	1113.3
Huxley's Brave New(-)World 	2255.1	1203.4
Animal Farm	2401.3	1115.7
A Clockwork(-)Orange	2744.3	1052.5
The Great(-)Gatsby	3147.6	1007.6
Of Mice and(-)Men 	2534	954.54
Lord of the(-)Flies 	2268.4	1108.8
Cat's Cradle:(-)A Novel	3090.1	673.16
Breakfast of Champions:(-)A Novel	2973.5	632.34
Brave New World and(-)Brave New World Revisited	2667.1	1190.3
Frankenstein 	2160.3	1241.4
To Kill(-)a Mockingbird	2434.1	981.48
One Flew Over the(-)Cuckoo's Nest: 	2765.2	880.64
The Adventures of(-)Huckleberry Finn	2659.7	880.62
Their Eyes Were(-)Watching God	3137.9	831.9
The Grapes of(-)Wrath 	2600.3	767.26
Death of a(-)Salesman 	2605.5	624.53
Night 	2532.6	1115.8
Of Mice(-)& Men	2350.5	761.45
The Sirens of Titan:(-)A Novel	3000.8	578.54
Mother Night:(-)A Novel	3175.1	666.58
Welcome to the Monkey(-)House: Stories	3116	622.55
Animal Farm(-)and 1984	2807.8	1405.2
Island 	2628.9	1014
Macbeth 	2091.7	1189.2
Jane Eyre(-)	2188.8	941.12
Beowulf 	2074.7	1246.9
Beowulf: A New Verse(-)Translation 	1960.4	1295.3
Dr. Jekyll & Mr.(-)Hyde 	2197.5	1153.4
Romeo and(-)Juliet 	2059.8	1002.7
The Scarlet(-)Letter	2667.5	931.01
The Crucible(-)	2611.5	832.39
Hawthorne's The Scarlet(-)Letter 	2847.2	765.16
Invisible Man	3376.8	910.75
The Things(-)They Carried	3176.2	912.74
Their Eyes Were Watching(-)God CD	2884	949.47
Fitzgerald's The Great(-)Gatsby 	3033.6	867.65
East of(-)Eden	2860.9	993.47
The Glass(-)Menagerie	2545	675.7
A Streetcar(-)Named Desire	2797.3	526.16
A Raisin in(-)the Sun	2441.9	712.84
All Quiet on the(-)Western Front	2681.8	1366.7
Player Piano	3056.6	527.48
"God Bless You,(-)Mr. Rosewater"	2984.3	504.1
The Odyssey(-)	2055.6	1291.1
Julius Caesar(-)	1992.1	971.67
Romeo &(-)Juliet	1862.7	925.1
A Midsummer Night's(-)Dream	2026.4	1101.2
The Tempest(-)	1857.2	969.11
Hamlet_ 	1864.4	881.09
A Midsummer Night's(-)Dream_	1806.2	793.05
Spark Notes No Fear(-)Shakespeare Othello 	1941.1	793.06
In Search of History -(-)Salem Witch Trials 	2678.1	668.57
Beloved	3307.3	977.7
Native Son	3220.5	982.36
Their Eyes Were Watching(-)God Literature Guide 	3072.6	764.42
The Great(-)Gatsby CD	2599.1	925.19
Cannery Row:(-)	2669.3	717.52
Anna Karenina(-)	2843.2	1283.3
Long Day's Journey(-)into Night	2501.2	614.53
Who's Afraid of(-)Virginia Woolf?	2583.1	564.06
Wiesel's Night(-)	2345.7	1203.7
One Day in the Life(-)of Ivan Denisovich 	2903.7	1665.3
The Odyssey: The(-)Fitzgerald Translation	1823.3	1328
The Iliad(-)	1753.4	1387.5
The Aeneid(-)	1677.3	1429.2
Mythology	2227.8	897.09
The Three Theban(-)Plays 	1854.9	1414.1
King Lear_(-)	1864.8	837.08
Hamlet 	2072.9	1145.2
The Merchant of(-)Venice 	1885.2	1013.1
Twelfth Night(-)	2023.7	1046.7
Things Fall Apart:(-)A Novel	2692.9	1322.5
The Canterbury(-)Tales 	1853	1257.7
The Winter's(-)Tale 	1770.9	1034
"Twelfth Night: or, What(-)You Will "	1844.2	1081.4
The Taming of the(-)Shrew_ 	1766.1	749.04
Macbeth_ 	1898.1	749.03
Twelfth Night_(-)	1713.8	660
The Tempest_(-)	1847	705.02
A Mercy	3452.7	1035
Song of(-)Solomon	3442.5	990.94
Black Boy(-)	3157.6	956.74
Zora Neale Hurston's Their Eyes Were(-)Watching God: A Casebook 	3278.9	758.05
New Essays on Their Eyes(-)Were Watching God 	3249.2	620.62
Sweet Thursday(-)	2908.3	588.16
The Winter of Our(-)Discontent 	2858.4	634.54
The Brothers(-)Karamazov	2510.5	1480.2
Crime and(-)Punishment 	2609.7	1322.3
Love in the Time(-)of Cholera 	3372.3	1449.7
War and(-)Peace 	2903.8	1531.6
Madame Bovary(-)	2441.3	1248.3
War And(-)Peace 	2853.5	1184.6
Waiting for Godot: A(-)Tragicomedy in Two Acts	2402	1071.7
The Iceman(-)Cometh	2660.3	545.6
Glengarry Glen Ross:(-)A Play	2513.9	331.37
The White Tiger: A(-)Novel 	3568.3	1208.2
2666: A(-)Novel	3447.3	1208.1
