name	x	y
Adam Sandler	542.6462118698174	406.20597160106036
Chris Rock	471.6098853655889	420.14194664862924
Steve Buscemi	558.3282430332158	335.77204972263377
Al Pacino	464.84682469005367	247.35344292616892
Diane Keaton	498.62995798542204	249.73631230677626
James Caan	464.56037676403463	211.94066027530894
Robert De Niro	469.8052625996212	321.8585667246691
Robert Duvall	543.6403848626724	245.2535957422836
Talia Shire	504.7648377562036	179.5884438264205
Alan Rickman	723.1693143354822	354.6895551890224
Daniel radcliffe	691.1219234957812	309.07124248882985
Emma Watson	718.3900695931698	324.2932881130313
gary Oldman	646.4328819916823	331.3456134338082
Helena Bonham Carter	662.0720604508084	374.02991857216483
John Hurt	657.6456777349646	354.1444040123699
Liam Neeson	657.0316789525169	337.0050575249762
Ralph Fiennes	704.4781067908947	384.016544038543
Alec Baldwin	431.8067589568511	432.52283828308487
Ben Stiller	421.53971216526986	367.89983526057705
Bill Murray	506.0726553459109	420.6912030376709
Dan Aykroyd	475.21498857141626	475.65730369331123
Gwyneth Paltrow	485.2166652925021	472.149523043706
Joan Cusack	455.9520271809607	476.8192423246369
Kim Basinger	369.6055191861185	468.0235093768806
Amanda Seyfried	295.4587885732076	403.2201451465677
Franco Nero	299.6435711284651	457.7669177029226
Vanessa Redgrave	365.60103970156734	424.41196641162855
Angela Bassett	431.9353670673546	504.46091117795237
Samuel L. Jackson	450.59967544006224	433.8724605516828
Angelina Jolie	459.0088008405814	280.37210304201545
Brad Pitt	405.341434680579	320.28223101578794
David Cross	481.440029847598	355.95951582525174
Dustin Hoffman	425.65268909900686	353.85627024348054
Jack Black	453.78819606549865	325.1305627172645
James Hong	494.4309522632779	307.56144785862176
Lucy Liu	414.39481529160395	316.65055500058634
Seth Rogen	424.11899171158166	278.2963944624375
Annie Potts	429.43525723019656	459.3752916608619
Tom Hanks	401.3737155100148	517.1023046171176
Anthony Quinn	539.2033201150974	108.09044368525058
Ernest Borgnine	569.766492546243	165.76295732436392
Antonio Banderas	518.0570146966536	285.3056959437494
Bill Paxton	514.4708510222589	211.63515803507954
Cameron Diaz	469.5318361429625	346.5670845071542
Carla Gugino	477.99886112924725	247.47537379834478
Eddie Murphy	541.7526961224667	316.5784766145102
Julie Andrews	517.8289913730509	352.5825445622039
Mike Myers	470.67003671520513	298.26286683456226
Penelope Cruz	577.5807387792405	328.01983585224025
Salma Hayek	522.0525324627572	368.01548252334334
Sylvester Stallone	487.87591300842286	221.37797858985374
Arnold Schwarzenegger	469.3432129896055	288.84409131839703
Danny DeVito	542.3186247120316	261.4977072487247
Jamie Lee Curtis	448.40792375051706	405.379283100727
Jason Statham	427.9692125322893	221.27770951998627
Ben Affleck	408.4347038885166	388.93751359926114
Jason Bateman	347.4663579488609	344.807888569684
Matt Damon	483.76390926213185	370.68202452135665
Ben Gazzara	582.5027548437563	447.1518237977082
Peter Falk	614.976631994776	399.77869476263703
Seymour Cassel	541.2640509919102	382.10012007300065
Jada Pinkett Smith	506.4783603102586	361.49792635957425
Jonah Hill	458.513123266733	313.74047845619407
Owen Wilson	453.40997682532065	397.011587831464
Paul Rudd	381.5228784902908	318.70591003952893
Robert Downey Jr.	487.33138992557537	390.4307761863289
Robin Williams	384.4576338790106	421.2065182176286
Vince Vaughn	375.3608140103279	388.42903727247403
Will Ferrell	413.678227612177	328.4709484108439
Bette Midler	568.4229069212836	196.55879935843657
Cate Blanchett	589.1916743689828	413.94226405700687
Jeff Goldblum	461.0375294676474	365.06506194486553
Johnny Depp	578.9112029070851	412.038620584137
Rick Moranis	526.7702259599496	496.7874205798503
Willem Dafoe	457.80520709866255	351.76938859321945
Billy Dee Williams	308.2321255296598	558.5226887135536
Carrie Fisher	366.69300118019385	547.9707635519861
Mark Hamill	322.83473012747453	503.9153670360877
Bonnie Hunt	354.9950873056612	531.2753714431593
Michael Keaton	389.3891436691804	471.68010875678897
Tim Allen	429.81677064608783	541.1304873157964
Don Cheadle	430.55723648733664	373.492941588314
Elliott Gould	444.3502149753641	298.84708945545145
George Clooney	390.89210001085314	359.9983028613111
Julia Roberts	444.42073726320297	352.3751115757621
Brendan Fraser	625.847388265224	316.42758341799663
Brion James	426.36964365890736	308.19598916550814
Bruce Willis	484.43724290435176	346.30447774242157
M. Emmet Walsh	360.54234602670874	328.38178092556916
Catherine Zeta-Jones	425.6484931284082	387.42299492104536
Harvey Keitel	513.7416014833864	386.7530307277896
John Travolta	541.7487904577449	340.73533822997115
Michael Clarke Duncan	522.4430067063088	294.30375367052096
Morgan Freeman	565.4447001920428	317.53313340014927
Robin Wright	529.3698608997569	277.2103208148579
Burgess Meredith	552.493736571188	191.01929001209257
Eli Wallach	534.1691072282172	261.0836633224429
Burt Lancaster	634.427166426414	163.0087414262367
Kirk Douglas	584.6601906240238	134.0429473029867
paul Newman	587.5059358389576	219.09783167859098
Tony Curtis	596.4084646409326	202.36200134820592
Burt Reynolds	405.6478297818911	154.04874291345618
Charles Durning	366.88153331850486	218.50665828089623
Henry Silva	345.2251398131959	144.4179892520263
Rod Steiger	479.91204005087275	165.28094227222692
Drew Barrymore	396.68758035459257	372.90095319899524
