Acc_selectNodeWithHighestDegree2_NL,Acc_selectNodeWithHighestDegree2_MAT
1.0,0.7
0.6,0.7
1.0,0.8
0.9,0.8
0.6,0.7
0.9,0.4
1.0,0.9
1.0,0.5
1.0,0.7
1.0,null


Acc_selectAllNeigbhorsOf1Node_NL,Acc_selectAllNeigbhorsOf1Node_MAT
0.9555555555555555,0.6716666666666666
0.9111111111111111,0.888888888888889
0.7805555555555556,0.7722222222222223
0.8222222222222223,0.825
0.3527777777777778,0.9222222222222222
0.0,0.5111111111111111
0.8694444444444445,0.9777777777777779
0.825,0.25055555555555553
0.9416666666666667,0.8805555555555558
0.9555555555555555,null


Acc_selectMoreInterconnectedCluster2Clusters_NL,Acc_selectMoreInterconnectedCluster2Clusters_MAT
0.8,0.8
0.5,0.9
0.6,0.8
0.7,0.8
0.6,0.7
0.8,0.8
0.8,0.9
0.9,0.9
0.9,0.8
0.9,null


Time_selectNodeWithHighestDegree2_NL,Time_selectNodeWithHighestDegree2_MAT
7.3,10.7
11.4,13.2
8.1,12.1
10.6,10.1
6.7,9.9
3.6,13.2
5.8,9.7
10.0,12.5
5.8,10.1
4.2,null


Time_selectAllNeigbhorsOf1Node_NL,Time_selectAllNeigbhorsOf1Node_MAT
16.2,20.1
19.9,20.3
14.3,21.7
18.9,20.1
21.7,18.5
3.3,25.0
17.8,20.0
19.9,23.0
14.5,21.0
15.1,null


Time_selectMoreInterconnectedCluster2Clusters_NL,Time_selectMoreInterconnectedCluster2Clusters_MAT
3.5,2.3
9.2,3.6
3.0,2.9
8.8,4.8
5.1,3.0
1.9,3.6
3.5,3.1
6.3,4.9
2.7,2.6
2.4,null


