Acc_shortestPathAmongPairsOfNodes2_NL,Acc_selectAllCommonNeighborsOf2Nodes_NL
0.6,0.366666667
0.4,0.5
0.4,0.683333333
0.2,0.433333333
0.6,0.566666667
0.5,0.516666667
0.5,0.666666667
0.5,0.366666667
0.6,0.65
0.3,0.233333333
0.5,0.266666667
0.6,0.683333333
0.7,0.633333333
0.6,0.2
0.6,0.683333333
0.6,0.666666667
0.3,0.433333333
0.4,0.7
0.6,0.666666667
0.6,0.483333333
0.6,0.666666667
0.6,0.416666667
0.6,0.5
0.6,0.7
0.6,0.283333333
0.6,0.683333333
0.6,0.516666667
0.6,0.483333333
0.6,0.55
0.5,0.7
0.4,0.433333333
0.6,0.633333333
0.6,0.75
0.6,0.45
0.6,0.8
0.6,0.75
0.6,0.65
0.4,0.3
0.5,0.433333333
0.6,0.483333333
0.2,0.6
0.3,0.4
0.3,0.566666667
0.6,0.716666667
0.5,0.816666667
0.4,0.733333333
0.5,0.166666667
0.5,0.8
0.5,0.766666667
0.4,0.5
0.5,0.65
0.5,0.366666667
0.4,0.716666667
0.2,0.716666667
