Acc_selectLargerGroup_MAT,Acc_does2NodeBelongToSameCluster_MAT,Acc_howManyClustersAreThere_MAT
0.9,0.5,0.875
0.7,0.3,0.875
0.9,0.9,0.5
0.9,0.9,0.625
0.9,0.7,0.125
0.7,0.5,0.875
0.9,1,2
0.9,0.9,0.875
0.8,1,1
0.9,0.9,0.875
0.9,1,1
0.7,0.8,1
0.9,1,0.875
0.6,0.9,0.875
1,0.9,0
1,0.6,0.875
0.9,0.8,0.875
0.9,0.9,1
1,0.9,1
0.8,0.8,1
0.9,0.7,1
0.8,1,0
0.9,1,1
1,1,0.875
0.9,0.6,1
0.9,0.8,1
0.9,0.9,0.875
0.9,0.6,0.25
1,0.9,1
0.8,0.5,1
0.9,0.9,0.875
0.9,0.9,1
0.8,0.8,0.875
0.8,0.3,0.875
0.9,0.9,0.625
0.9,1,1
0.9,0.8,0.875
0.4,0.8,0.75
1,1,1
0.8,1,0.875
0.9,1,0.875
0.9,1,0.875
0.8,0.4,0.25
1,0.6,1
1,0.9,1
1,0.8,0.75
0.8,0.9,1
0.9,0.3,0.25
1,0.9,0.875
0.6,1,1
0.9,0.9,0.875
0.7,1,0.875
