Time_selectLargerGroup_MAT,Time_does2NodeBelongToSameCluster_MAT,Time_howManyClustersAreThere_MAT
3.5,4.8,10
6.6,8.8,9
5.5,8,8
5.5,4.7,9
5.7,9.7,10
3.3,1.8,10
3.8,5.3,10
3.4,3.9,10
5.9,5,9
4,3.1,9
5.8,4.7,10
3.9,3.5,8
8.8,7.6,10
3.2,4.1,10
2.5,1.8,10
5.2,9.8,10
3.5,1.9,6
2.8,2.9,5
3.6,3.8,10
6.9,6.1,10
4.5,9.2,7
2.3,2,7
3.4,3.8,7
3.7,3.7,5
4.5,9.5,10
2.2,7.7,10
4,4,10
2.9,2,9
4.2,3.6,8
5.7,8.8,8
4.3,4.7,10
3,4.4,10
4.4,4.4,6
5.4,6.3,10
5.7,7.8,10
6,5.6,7
5.7,4.6,10
2.5,3.5,7
3.6,3.7,10
3.6,4.3,6
2.3,2.9,5
3.3,3.5,4
4.4,8.2,8
3.8,4.6,10
3.8,5.5,8
3.7,4.1,10
3.5,4.5,7
4.9,4.9,10
4.7,5.2,9
3.7,3.7,10
5.2,6.4,8
3,3.2,10
