Acc_selectLargerGroup_NL,Acc_selectLargerGroup_MAT
0.9,0.9
1.0,0.7
0.9,0.9
0.9,0.9
0.8,0.9
0.8,0.7
1.0,0.9
1.0,0.9
0.8,0.8
1.0,0.9
1.0,0.9
0.8,0.7
0.8,0.9
0.8,0.6
0.9,1.0
0.8,1.0
0.9,0.9
1.0,0.9
0.9,1.0
0.9,0.8
0.9,0.9
0.9,0.8
0.7,0.9
1.0,1.0
1.0,0.9
0.9,0.9
0.9,0.9
0.8,0.9
0.8,1.0
0.7,0.8
0.9,0.9
0.9,0.9
0.7,0.8
0.8,0.8
0.8,0.9
0.9,0.9
0.8,0.9
0.8,0.4
0.6,1.0
0.9,0.8
0.9,0.9
0.9,0.9
0.9,0.8


Acc_does2NodeBelongToSameCluster_NL,Acc_does2NodeBelongToSameCluster_MAT
0.7,0.5
0.7,0.3
1.0,0.9
1.0,0.9
1.0,0.7
1.0,0.5
0.5,1.0
0.6,0.9
0.9,1.0
1.0,0.9
0.9,1.0
0.5,0.8
0.8,1.0
1.0,0.9
1.0,0.9
1.0,0.6
1.0,0.8
0.4,0.9
1.0,0.9
1.0,0.8
0.6,0.7
0.3,1.0
0.8,1.0
1.0,1.0
0.9,0.6
1.0,0.8
1.0,0.9
0.7,0.6
0.7,0.9
0.6,0.5
0.8,0.9
0.6,0.9
0.7,0.8
0.3,0.3
1.0,0.9
0.3,1.0
1.0,0.8
0.7,0.8
0.9,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9,0.4


Acc_howManyClustersAreThere_NL,Acc_howManyClustersAreThere_MAT
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.1
0.0,0.0
0.1,0.1
0.0,0.1
0.0,0.0
0.1,0.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.1
0.1,0.1
0.0,0.1
0.0,0.1
0.0,0.0
0.0,0.1
0.0,0.0
0.0,0.1
0.0,0.1
0.0,0.0
0.0,0.0
0.0,0.1
0.0,0.1
0.0,0.0
0.0,0.1
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.1
0.0,0.0
0.0,0.0
0.0,0.1
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0


Time_selectLargerGroup_NL,Time_selectLargerGroup_MAT
4.5,3.5
7.6,6.6
4.6,5.5
3.7,5.5
6.4,5.7
5.4,3.3
5.3,3.8
4.1,3.4
3.8,5.9
4.8,4.0
3.6,5.8
4.2,3.9
4.3,8.8
4.0,3.2
4.0,2.5
5.1,5.2
3.0,3.5
3.8,2.8
4.8,3.6
4.6,6.9
4.0,4.5
4.8,2.3
1.8,3.4
6.2,3.7
2.8,4.5
3.7,2.2
3.7,4.0
3.3,2.9
4.0,4.2
4.0,5.7
4.1,4.3
4.8,3.0
4.6,4.4
5.4,5.4
4.9,5.7
3.8,6.0
4.6,5.7
3.7,2.5
2.4,3.6
4.8,3.6
5.3,2.3
9.5,3.3
3.0,4.4


Time_does2NodeBelongToSameCluster_NL,Time_does2NodeBelongToSameCluster_MAT
5.6,4.8
7.7,8.8
2.8,8.0
3.5,4.7
4.9,9.7
4.1,1.8
3.0,5.3
8.7,3.9
4.0,5.0
8.8,3.1
6.7,4.7
8.1,3.5
3.3,7.6
5.4,4.1
7.0,1.8
4.4,9.8
4.1,1.9
6.5,2.9
7.6,3.8
3.0,6.1
4.6,9.2
9.4,2.0
1.3,3.8
6.8,3.7
6.5,9.5
3.4,7.7
5.0,4.0
5.8,2.0
6.1,3.6
9.6,8.8
8.5,4.7
8.6,4.4
6.9,4.4
9.4,6.3
4.2,7.8
4.3,5.6
5.1,4.6
9.1,3.5
4.1,3.7
6.3,4.3
3.8,2.9
9.7,3.5
2.9,8.2


Time_howManyClustersAreThere_NL,Time_howManyClustersAreThere_MAT
1.0,1.0
1.0,0.9
1.0,0.8
0.8,0.9
1.0,1.0
1.0,1.0
0.9,1.0
0.8,1.0
1.0,0.9
1.0,0.9
1.0,1.0
0.7,0.8
1.0,1.0
1.0,1.0
1.0,1.0
0.8,1.0
1.0,0.6
1.0,0.5
1.0,1.0
1.0,1.0
1.0,0.7
1.0,0.7
0.5,0.7
1.0,0.5
0.8,1.0
1.0,1.0
1.0,1.0
1.0,0.9
0.9,0.8
1.0,0.8
1.0,1.0
1.0,1.0
1.0,0.6
1.0,1.0
0.3,1.0
1.0,0.7
0.9,1.0
1.0,0.7
0.9,1.0
0.6,0.6
1.0,0.5
1.0,0.4
0.2,0.8


