Time_isANodeConnectedToANamedNode_MAT,Time_shortestPathBetween2Nodes_MAT,Time_areTwoNamedNodesConnected_MAT
18.6,21.0,0.0
16.8,34.0,0.0
20.0,59.0,0.0
8.4,6.6,0.0
18.4,40.6,0.0
19.2,30.2,0.0
19.2,26.6,0.0
15.6,39.6,0.0
1.6,3.4,0.0
5.0,10.0,0.0
9.4,5.6,0.0
17.4,40.2,0.0
7.8,3.6,0.0
17.0,47.8,0.0
7.6,10.6,0.0
13.0,3.2,0.0
6.8,4.0,0.0
9.8,23.4,0.0
18.4,50.0,0.0
14.0,41.0,0.0
7.0,14.2,0.0
7.4,13.6,0.0
20.0,60.0,0.0
19.8,55.4,0.0
16.6,40.8,0.0
1.4,13.6,0.0
17.6,38.2,0.0
4.2,11.0,0.0
15.8,29.8,0.0
13.8,32.6,0.0
16.8,35.0,0.0
17.2,31.2,0.0
20.0,7.4,0.0
15.2,28.6,0.0
14.6,20.4,0.0
15.8,4.4,0.0
11.0,19.2,0.0
17.6,14.0,0.0
12.8,12.2,0.0
18.2,26.6,0.0
16.2,13.0,0.0
4.2,14.8,0.0
16.0,39.0,0.0
20.0,35.0,0.0
18.8,1.6,0.0
19.4,50.8,0.0
15.6,37.4,0.0
6.6,18.0,0.0
18.2,33.2,0.0
15.8,26.2,0.0
