Time_isANodeConnectedToANamedNode_NL,,,, :: Time_shortestPathBetween2Nodes_NL,,,, :: Time_areTwoNamedNodesConnected_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
20,14,17,18,9 :: 15,17,38,13,43 :: 0,0,0,0,0
8,7,8,5,5 :: 4,43,60,55,49 :: 0,0,0,0,0
20,20,20,20,20 :: 35,55,36,34,60 :: 0,0,0,0,0
8,18,16,16,8 :: 52,11,22,58,58 :: 0,0,0,0,0
20,11,15,20,12 :: 28,30,60,60,31 :: 0,0,0,0,0
15,13,17,17,10 :: 12,13,20,19,9 :: 0,0,0,0,0
20,17,14,18,6 :: 33,29,14,8,12 :: 0,0,0,0,0
20,15,14,16,10 :: 26,31,18,12,8 :: 0,0,0,0,0
18,17,11,20,9 :: 16,19,14,14,17 :: 0,0,0,0,0
20,20,20,20,20 :: 50,58,60,57,43 :: 0,0,0,0,0
20,9,14,20,17 :: 15,21,32,18,13 :: 0,0,0,0,0
17,20,19,20,15 :: 37,20,52,23,60 :: 0,0,0,0,0
6,11,7,18,13 :: 30,17,45,43,54 :: 0,0,0,0,0
16,12,14,18,11 :: 35,23,60,46,52 :: 0,0,0,0,0
20,20,16,20,20 :: 37,26,60,60,60 :: 0,0,0,0,0
20,20,20,20,20 :: 50,60,60,60,32 :: 0,0,0,0,0
20,12,7,20,14 :: 20,23,60,60,60 :: 0,0,0,0,0
20,16,19,20,19 :: 34,39,33,36,48 :: 0,0,0,0,0
20,17,20,20,14 :: 34,21,54,16,51 :: 0,0,0,0,0
3,1,1,1,1 :: 3,1,4,2,2 :: 0,0,0,0,0
15,20,16,20,15 :: 21,44,54,8,50 :: 0,0,0,0,0
13,9,9,12,7 :: 15,13,13,8,11 :: 0,0,0,0,0
20,20,20,20,3 :: 2,5,2,52,22 :: 0,0,0,0,0
13,20,20,19,20 :: 37,36,29,60,57 :: 0,0,0,0,0
20,20,20,20,18 :: 32,56,60,60,60 :: 0,0,0,0,0
20,10,16,20,12 :: 28,32,59,33,48 :: 0,0,0,0,0
9,11,9,19,15 :: 17,38,60,60,60 :: 0,0,0,0,0
17,16,10,18,11 :: 27,16,39,58,55 :: 0,0,0,0,0
20,20,20,20,20 :: 40,52,60,59,48 :: 0,0,0,0,0
18,16,11,13,17 :: 27,21,54,32,39 :: 0,0,0,0,0
13,16,8,20,12 :: 34,19,59,7,26 :: 0,0,0,0,0
20,20,20,20,18 :: 27,60,60,60,60 :: 0,0,0,0,0
19,15,15,20,20 :: 45,58,36,56,33 :: 0,0,0,0,0
12,12,16,20,6 :: 10,25,60,46,43 :: 0,0,0,0,0
20,11,20,8,4 :: 20,9,51,22,28 :: 0,0,0,0,0
20,10,16,20,10 :: 27,18,33,56,41 :: 0,0,0,0,0
17,13,15,12,16 :: 16,24,60,27,16 :: 0,0,0,0,0
17,20,13,20,19 :: 60,27,60,56,52 :: 0,0,0,0,0
12,15,9,19,14 :: 16,19,53,12,49 :: 0,0,0,0,0
20,20,20,20,10 :: 16,15,57,53,40 :: 0,0,0,0,0
20,20,20,20,20 :: 60,60,60,60,60 :: 0,0,0,0,0
15,14,17,19,12 :: 13,18,54,59,55 :: 0,0,0,0,0
14,18,20,19,16 :: 24,16,21,46,54 :: 0,0,0,0,0
14,14,13,17,13 :: 55,21,46,31,31 :: 0,0,0,0,0
20,15,20,20,19 :: 60,41,60,48,27 :: 0,0,0,0,0
8,8,10,14,9 :: 15,24,31,25,20 :: 0,0,0,0,0
20,12,15,17,8 :: 19,21,23,23,15 :: 0,0,0,0,0
19,3,2,2,1 :: 12,5,7,6,9 :: 0,0,0,0,0
20,11,9,14,13 :: 25,39,60,60,47 :: 0,0,0,0,0
18,12,20,20,6 :: 26,12,19,12,18 :: 0,0,0,0,0
15,16,20,20,11 :: 42,43,59,56,49 :: 0,0,0,0,0
