NamedConn_AM_ACC,TwoJump_AM_ACC,Memory_AM_ACC
1,0.298658009,0.3
0.6,0.382251082,0
0.8,0.533506494,0.2
0.6,0.09995671,0.1
0.4,0.394242424,0.1
1,0.386623377,0.1
1,0.11995671,0.1
0.4,0.495844156,0
1,0.226277056,0.1
0.6,0.54030303,0
0.8,0.262337662,0.1
1,0.091038961,0
0.8,0.107835498,0
1,0.705541126,0.3
1,0.883939394,0.1
1,0.763506494,0.2
0.6,0.736233766,0.1
1,0.793593074,0.7
1,0.577142857,0.8
0.8,0.385454545,0
1,0.374329004,0.1
1,0.424112554,0.3
1,0.58017316,0
1,0.460909091,0.3
1,0.149004329,0
0.2,0.404891775,0.1
1,0.330562771,0.1
0.6,0.16995671,0
1,0.11995671,0.1
0.8,0.431038961,0.2
0.4,0.29008658,0
1,0.471645022,0
1,0.441861472,0.5
1,0.149350649,0.6
1,0.366623377,0
1,0.403246753,0.1
1,0.4604329,0.3
1,0.11995671,0.5
0.6,0.107835498,0
0.4,0.284718615,0
1,0.389264069,0.2
0.8,0.358484848,0
0.6,0.11995671,0
1,0.712813853,0.1
