NamedConn_NL_Time,TwoJump_NL_Time,Memory_NL_TIME
27.4,43.8,0
31,18.6,0
34,15.8,0
30.6,11.8,0
28.4,10,0
27.2,29,0
33,33,0
36.8,20.4,0
37.6,31.6,0
31.4,48.2,0
11.8,28.4,0
27,30.2,0
35.4,23.4,0
24.8,41.4,0
40,35.6,0
28,41.2,0
38.6,12.4,0
21.2,38,0
15,43.6,0
30.8,35,0
14,31.2,0
41,36,0
60,20.6,0
40,28.8,0
28.4,51.2,0
30.4,57,0
31.8,23.4,0
38.8,16.2,0
39.4,17.2,0
19.4,18,0
21.6,38.8,0
35.4,48,0
17.6,36,0
18.4,35.8,0
25.2,46.6,0
38.8,39.6,0
33.8,33.2,0
22,37,0
28,43.2,0
25.2,35.6,0
13.8,33.8,0
27.4,34,0
30.6,7,0
33,46.8,0
28.2,46.6,0
22.8,48,0
27.6,40.8,0
33.6,7.8,0
23.4,23.4,0
28.6,47.6,0
28.4,45.4,0
42.8,28.6,0
