Time_allCommonNeighborOf2NodesFromOptions_NL,,,, :: Time_howManyNodesAreWithin2LinkReach_NL,,,, :: Time_rememberNodesUsedInCommonNeighbor_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
21,60,18,8,30 :: 60,35,28,58,38 :: 0,0,0,0,0
21,36,53,16,29 :: 23,15,19,21,15 :: 0,0,0,0,0
23,47,58,17,25 :: 20,24,16,10,9 :: 0,0,0,0,0
34,42,42,20,15 :: 11,11,8,13,16 :: 0,0,0,0,0
38,34,27,31,12 :: 7,10,6,9,18 :: 0,0,0,0,0
37,22,24,16,37 :: 47,36,18,19,25 :: 0,0,0,0,0
33,33,33,33,33 :: 33,33,33,33,33 :: 33,33,33,33,33
28,47,27,22,60 :: 29,25,19,15,14 :: 0,0,0,0,0
17,60,60,20,31 :: 47,23,35,18,35 :: 0,0,0,0,0
35,60,22,18,22 :: 60,39,60,60,22 :: 0,0,0,0,0
4,15,12,12,16 :: 33,21,18,36,34 :: 0,0,0,0,0
7,3,1,1,2 :: 5,3,2,3,3 :: 0,0,0,0,0
17,60,24,12,22 :: 48,20,29,29,25 :: 0,0,0,0,0
33,41,31,12,60 :: 42,21,16,25,13 :: 0,0,0,0,0
42,35,20,13,14 :: 43,40,22,57,45 :: 0,0,0,0,0
40,58,48,21,33 :: 12,53,22,60,31 :: 0,0,0,0,0
39,38,21,13,29 :: 32,60,32,22,60 :: 0,0,0,0,0
34,60,60,13,26 :: 26,9,10,11,6 :: 0,0,0,0,0
29,25,13,12,27 :: 40,43,29,38,40 :: 0,0,0,0,0
8,29,20,7,11 :: 57,51,31,59,20 :: 0,0,0,0,0
39,45,22,10,38 :: 31,49,31,35,29 :: 0,0,0,0,0
11,16,13,13,17 :: 35,29,20,54,18 :: 0,0,0,0,0
60,55,39,26,25 :: 9,32,60,45,34 :: 0,0,0,0,0
60,60,60,60,60 :: 41,11,9,23,19 :: 0,0,0,0,0
27,60,34,23,56 :: 56,48,11,21,8 :: 0,0,0,0,0
24,35,19,18,46 :: 60,41,49,60,46 :: 0,0,0,0,0
22,60,21,13,36 :: 60,60,45,60,60 :: 0,0,0,0,0
19,57,39,30,14 :: 24,30,23,28,12 :: 0,0,0,0,0
22,51,48,31,42 :: 24,25,9,11,12 :: 0,0,0,0,0
56,55,22,14,50 :: 33,11,14,10,18 :: 0,0,0,0,0
30,14,19,12,22 :: 42,12,7,18,11 :: 0,0,0,0,0
26,32,17,18,15 :: 60,23,23,54,34 :: 0,0,0,0,0
43,39,49,13,33 :: 60,36,41,60,43 :: 0,0,0,0,0
13,35,14,12,14 :: 49,35,26,47,23 :: 0,0,0,0,0
13,21,23,13,22 :: 60,26,24,42,27 :: 0,0,0,0,0
51,16,28,11,20 :: 60,23,38,52,60 :: 0,0,0,0,0
29,60,34,14,57 :: 50,34,23,60,31 :: 0,0,0,0,0
52,60,26,11,20 :: 50,31,23,43,19 :: 0,0,0,0,0
11,23,17,18,41 :: 48,37,23,55,22 :: 0,0,0,0,0
10,22,58,10,40 :: 60,46,26,60,24 :: 0,0,0,0,0
13,60,13,16,24 :: 60,33,19,48,18 :: 0,0,0,0,0
21,17,9,11,11 :: 57,23,18,45,26 :: 0,0,0,0,0
15,25,52,14,31 :: 46,27,23,45,29 :: 0,0,0,0,0
49,41,18,16,29 :: 3,12,11,5,4 :: 0,0,0,0,0
25,60,26,18,36 :: 60,46,28,60,40 :: 0,0,0,0,0
21,45,31,16,28 :: 60,60,37,53,23 :: 0,0,0,0,0
16,60,13,7,18 :: 60,60,27,60,33 :: 0,0,0,0,0
32,60,16,13,17 :: 51,51,31,36,35 :: 0,0,0,0,0
25,39,57,7,40 :: 14,4,6,8,7 :: 0,0,0,0,0
21,26,18,10,42 :: 43,16,14,29,15 :: 0,0,0,0,0
29,39,17,12,46 :: 51,42,44,60,41 :: 0,0,0,0,0
25,57,25,13,22 :: 60,52,20,53,42 :: 0,0,0,0,0
49,60,24,27,54 :: 60,27,19,24,13 :: 0,0,0,0,0
