Time_allCommonNeighborOf2NodesFromOptions_MAT,,,, :: Time_howManyNodesAreWithin2LinkReach_MAT,,,, :: Time_rememberNodesUsedInCommonNeighbor_MAT,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
32,19,25,17,20 :: 7,60,31,9,10 :: 0,0,0,0,0
2,1,1,1,1 :: 3,1,1,0,0 :: 0,0,0,0,0
21,39,43,60,54 :: 51,38,51,46,45 :: 0,0,0,0,0
4,3,1,1,0 :: 4,0,0,1,0 :: 0,0,0,0,0
50,57,45,19,50 :: 60,29,57,45,31 :: 0,0,0,0,0
43,40,35,16,29 :: 17,7,10,17,16 :: 0,0,0,0,0
32,25,60,19,35 :: 16,29,23,18,12 :: 0,0,0,0,0
19,20,20,17,13 :: 40,18,25,20,23 :: 0,0,0,0,0
19,24,28,18,38 :: 18,16,10,16,14 :: 0,0,0,0,0
11,7,15,10,11 :: 12,9,13,8,15 :: 0,0,0,0,0
26,24,8,25,30 :: 10,5,7,6,8 :: 0,0,0,0,0
60,46,33,51,60 :: 40,30,27,55,24 :: 0,0,0,0,0
41,60,60,60,21 :: 30,60,45,45,38 :: 0,0,0,0,0
60,22,20,40,30 :: 48,7,6,12,16 :: 0,0,0,0,0
60,50,35,20,31 :: 32,13,12,8,7 :: 0,0,0,0,0
47,40,60,53,55 :: 60,42,27,53,18 :: 0,0,0,0,0
14,21,22,18,13 :: 54,52,60,57,44 :: 0,0,0,0,0
57,29,33,19,30 :: 60,51,31,58,40 :: 0,0,0,0,0
15,51,60,2,46 :: 60,54,28,52,31 :: 0,0,0,0,0
51,34,33,19,58 :: 60,55,59,52,50 :: 0,0,0,0,0
26,29,60,23,28 :: 60,52,26,60,34 :: 0,0,0,0,0
51,18,57,16,56 :: 57,46,47,30,37 :: 0,0,0,0,0
16,33,30,16,11 :: 30,22,30,30,29 :: 0,0,0,0,0
13,30,20,13,31 :: 57,3,2,3,1 :: 0,0,0,0,0
49,30,36,12,15 :: 46,42,48,22,26 :: 0,0,0,0,0
33,57,58,22,52 :: 3,56,26,25,16 :: 0,0,0,0,0
13,17,16,17,11 :: 24,35,20,14,17 :: 0,0,0,0,0
4,60,60,24,44 :: 17,28,35,32,45 :: 0,0,0,0,0
16,21,11,12,10 :: 60,40,23,13,18 :: 0,0,0,0,0
60,47,47,51,60 :: 35,36,15,13,21 :: 0,0,0,0,0
23,28,31,22,19 :: 18,18,19,17,13 :: 0,0,0,0,0
60,36,45,27,43 :: 40,10,42,48,50 :: 0,0,0,0,0
7,4,3,12,45 :: 7,18,14,10,8 :: 0,0,0,0,0
24,14,21,10,13 :: 34,41,18,8,10 :: 0,0,0,0,0
24,41,18,14,15 :: 60,16,29,23,29 :: 0,0,0,0,0
60,37,23,26,28 :: 53,21,12,25,26 :: 0,0,0,0,0
3,1,0,0,0 :: 2,1,1,1,0 :: 0,0,0,0,0
19,9,7,10,24 :: 14,30,47,59,34 :: 0,0,0,0,0
16,21,40,16,38 :: 22,36,32,10,19 :: 0,0,0,0,0
60,60,42,25,42 :: 59,36,41,31,37 :: 0,0,0,0,0
36,21,38,28,15 :: 38,15,16,13,14 :: 0,0,0,0,0
19,60,46,23,41 :: 32,8,5,8,6 :: 0,0,0,0,0
60,60,14,60,50 :: 60,46,56,55,42 :: 0,0,0,0,0
39,15,29,16,16 :: 30,16,28,23,26 :: 0,0,0,0,0
18,19,57,24,29 :: 30,32,31,17,19 :: 0,0,0,0,0
14,19,13,12,35 :: 26,10,11,11,10 :: 0,0,0,0,0
29,25,26,22,20 :: 45,30,16,40,31 :: 0,0,0,0,0
4,3,14,3,1 :: 9,3,1,1,1 :: 0,0,0,0,0
20,18,27,14,18 :: 57,46,24,60,47 :: 0,0,0,0,0
60,60,41,38,60 :: 37,30,38,32,33 :: 0,0,0,0,0
