Acc_allCommonNeighborOf2NodesFromOptions_NL,Acc_allCommonNeighborOf2NodesFromOptions_MAT
0.8,1.0
0.6,0.2
0.8,0.6
0.8,0.4
0.6,0.8
1.0,0.6
0.2,0.4
0.6,1.0
1.0,1.0
0.8,0.4
0.4,1.0
0.6,0.6
0.8,0.8
1.0,1.0
1.0,0.8
0.8,1.0
1.0,1.0
0.8,1.0
0.8,0.6
1.0,1.0
0.8,1.0
1.0,0.8
0.6,1.0
0.6,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.2
0.8,1.0
0.6,0.6
1.0,1.0
1.0,0.8
1.0,0.4
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.2
0.8,1.0
1.0,1.0
0.8,1.0
0.8,1.0
1.0,0.6
1.0,0.4
0.6,1.0
1.0,0.8
1.0,0.6
0.8,1.0
1.0,0.8
0.8,0.8
0.8,0.4
0.8,null
0.8,null
0.8,null


Acc_howManyNodesAreWithin2LinkReach_NL,Acc_howManyNodesAreWithin2LinkReach_MAT
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2,0.0
0.0,0.2
0.0,0.0
0.0,0.0
0.4,0.2
0.0,0.0
0.0,0.0
0.2,0.0
0.0,0.0
0.4,0.0
0.0,0.2
0.2,0.0
0.0,0.0
0.2,0.0
0.2,0.4
0.4,0.2
0.6,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.4,0.0
0.2,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2,0.0
0.6,0.0
0.4,0.0
0.0,0.0
0.4,0.0
0.0,0.0
0.0,0.0
0.4,0.0
0.0,0.0
0.2,0.0
0.2,0.0
0.4,0.0
0.0,0.0
0.2,0.0
0.4,0.0
0.4,0.2
0.4,0.0
0.0,0.4
0.2,0.0
0.2,null
0.2,null
0.0,null


Acc_rememberNodesUsedInCommonNeighbor_NL,Acc_rememberNodesUsedInCommonNeighbor_MAT
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.06666666666666667,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.06666666666666667
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.06666666666666667,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.06666666666666667,0.0
0.0,0.0
0.0,0.0
0.0,0.1
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,null
0.0,null
0.0,null


Time_allCommonNeighborOf2NodesFromOptions_NL,Time_allCommonNeighborOf2NodesFromOptions_MAT
27.4,22.6
31.0,1.2
34.0,43.4
30.6,1.8
28.4,44.2
27.2,32.6
33.0,34.2
36.8,17.8
37.6,25.4
31.4,10.8
11.8,22.6
2.8,50.0
27.0,48.4
35.4,34.4
24.8,39.2
40.0,51.0
28.0,17.6
38.6,33.6
21.2,34.8
15.0,39.0
30.8,33.2
14.0,39.6
41.0,21.2
60.0,21.4
40.0,28.4
28.4,44.4
30.4,14.8
31.8,38.4
38.8,14.0
39.4,53.0
19.4,24.6
21.6,42.2
35.4,14.2
17.6,16.4
18.4,22.4
25.2,34.8
38.8,0.8
33.8,13.8
22.0,26.2
28.0,45.8
25.2,27.6
13.8,37.8
27.4,48.8
30.6,23.0
33.0,29.4
28.2,18.6
22.8,24.4
27.6,5.0
33.6,19.4
23.4,51.8
28.6,null
28.4,null
42.8,null


Time_howManyNodesAreWithin2LinkReach_NL,Time_howManyNodesAreWithin2LinkReach_MAT
43.8,23.4
18.6,1.0
15.8,46.2
11.8,1.0
10.0,44.4
29.0,13.4
33.0,19.6
20.4,25.2
31.6,14.8
48.2,11.4
28.4,7.2
3.2,35.2
30.2,43.6
23.4,17.8
41.4,14.4
35.6,40.0
41.2,53.4
12.4,48.0
38.0,45.0
43.6,55.2
35.0,46.4
31.2,43.4
36.0,28.2
20.6,13.2
28.8,36.8
51.2,25.2
57.0,22.0
23.4,31.4
16.2,30.8
17.2,24.0
18.0,17.0
38.8,38.0
48.0,11.4
36.0,22.2
35.8,31.4
46.6,27.4
39.6,1.0
33.2,36.8
37.0,23.8
43.2,40.8
35.6,19.2
33.8,11.8
34.0,51.8
7.0,24.6
46.8,25.8
46.6,13.6
48.0,32.4
40.8,3.0
7.8,46.8
23.4,34.0
47.6,null
45.4,null
28.6,null


Time_rememberNodesUsedInCommonNeighbor_NL,Time_rememberNodesUsedInCommonNeighbor_MAT
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
33.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,null
0.0,null
0.0,null


