start,end, a, b, c
Child1,Gavroche,2,10,8
Child2,Child1,3,10,10
Anzelma,Thenardier,2,4,4
Anzelma,Mme.Thenardier,1,4,4
Child2,Gavroche,2,10,8
Napoleon,Myriel,1,1,1
Mlle.Baptistine,Myriel,8,1,1
Mme.Magloire,Myriel,10,1,1
CountessdeLo,Myriel,1,1,1
Geborand,Myriel,1,1,1
Champtercier,Myriel,1,1,1
Cravatte,Myriel,1,1,1
Count,Myriel,2,1,1
Valjean,Myriel,5,2,1
Listolier,Tholomyes,4,3,3
Fameuil,Tholomyes,4,3,3
Blacheville,Tholomyes,4,3,3
Favourite,Tholomyes,3,3,3
Marius,Tholomyes,1,8,3
Cosette,Tholomyes,1,5,3
Cosette,Thenardier,1,5,4
Fantine,Tholomyes,3,3,3
Zephine,Tholomyes,3,3,3
Dahlia,Tholomyes,3,3,3
Champmathieu,Judge,3,2,2
Judge,Valjean,3,2,2
Judge,Bamatabois,2,2,2
Brevet,Judge,2,2,2
Chenildieu,Judge,2,2,2
Cochepaille,Judge,2,2,2
Perpetue,Fantine,1,3,3
Simplice,Perpetue,2,2,3
Zephine,Dahlia,4,3,3
Dahlia,Listolier,3,3,3
Dahlia,Fameuil,3,3,3
Dahlia,Blacheville,3,3,3
Dahlia,Favourite,5,3,3
Fantine,Dahlia,4,3,3
Gervais,Valjean,1,2,2
Brujon,Babet,3,4,4
Brujon,Gueulemer,3,4,4
Brujon,Thenardier,3,4,4
Brujon,Gavroche,1,4,8
Brujon,Claquesous,1,4,4
Brujon,Montparnasse,1,4,4
Brevet,Champmathieu,2,2,2
Brevet,Valjean,2,2,2
Brevet,Bamatabois,1,2,2
Chenildieu,Brevet,2,2,2
Cochepaille,Brevet,2,2,2
Cochepaille,Champmathieu,2,2,2
Cochepaille,Chenildieu,2,2,2
Cochepaille,Valjean,2,2,2
Cochepaille,Bamatabois,1,2,2
