Acc_allCommonNeighborOf2NodesFromOptions_NL,Acc_howManyNodesAreWithin2LinkReach_NL,Acc_rememberNodesUsedInCommonNeighbor_NL
0.8,0.0,0.0
0.6,0.0,0.0
0.8,0.0,0.0
0.8,0.0,0.0
0.6,0.0,0.0
1.0,0.2,0.0
0.2,0.0,0.06666666666666667
0.6,0.0,0.0
1.0,0.0,0.0
0.8,0.4,0.0
0.4,0.0,0.0
0.8,0.2,0.0
1.0,0.0,0.0
1.0,0.4,0.0
0.8,0.0,0.0
1.0,0.2,0.0
0.8,0.0,0.0
0.8,0.2,0.0
1.0,0.2,0.0
0.8,0.4,0.0
1.0,0.6,0.0
0.6,0.0,0.0
0.6,0.0,0.0
1.0,0.0,0.0
1.0,0.4,0.0
1.0,0.2,0.0
1.0,0.0,0.0
0.8,0.0,0.0
0.6,0.0,0.0
1.0,0.0,0.0
1.0,0.2,0.0
1.0,0.6,0.0
1.0,0.4,0.0
1.0,0.0,0.0
1.0,0.4,0.06666666666666667
1.0,0.0,0.0
0.8,0.0,0.0
1.0,0.4,0.0
0.8,0.0,0.06666666666666667
0.8,0.2,0.0
1.0,0.2,0.0
1.0,0.4,0.0
0.6,0.0,0.0
1.0,0.2,0.0
1.0,0.4,0.0
0.8,0.4,0.0
1.0,0.4,0.0
0.8,0.0,0.0
0.8,0.2,0.0
0.8,0.2,0.0
0.8,0.2,0.0
0.8,0.0,0.0
