Acc_allCommonNeighborOf2NodesFromOptions_MAT,Acc_howManyNodesAreWithin2LinkReach_MAT,Acc_rememberNodesUsedInCommonNeighbor_MAT
1.0,0.0,0.0
0.6,0.0,0.0
0.8,0.0,0.0
0.6,0.0,0.0
0.4,0.2,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.4,0.2,0.0
1.0,0.0,0.0
0.6,0.0,0.0
0.8,0.0,0.0
1.0,0.0,0.0
0.8,0.0,0.0
1.0,0.2,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.6,0.0,0.0
1.0,0.4,0.0
1.0,0.2,0.0
0.8,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.06666666666666667
0.2,0.0,0.0
1.0,0.0,0.0
0.6,0.0,0.0
1.0,0.0,0.0
0.8,0.0,0.0
0.4,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.6,0.0,0.0
0.4,0.0,0.1
1.0,0.0,0.0
0.8,0.0,0.0
0.6,0.0,0.0
1.0,0.2,0.0
0.8,0.0,0.0
0.8,0.4,0.0
0.4,0.0,0.0
