Error_allCommonNeighborOf2NodesFromOptions_NL,,,, :: Error_howManyNodesAreWithin2LinkReach_NL,,,, :: Error_rememberNodesUsedInCommonNeighbor_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 3.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,2.0,2.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,3.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 5.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,2.0,3.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,2.0,7.0,10.0,9.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 8.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,4.0,10.0,6.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,1.0,1.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 1.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 8.0,3.0,9.0,10.0,8.0
