Time_allCommonNeighborOf2NodesFromOptions_NL,Time_howManyNodesAreWithin2LinkReach_NL,Time_rememberNodesUsedInCommonNeighbor_NL
27.4,43.8,0.0
31.0,18.6,0.0
34.0,15.8,0.0
30.6,11.8,0.0
28.4,10.0,0.0
27.2,29.0,0.0
33.0,33.0,33.0
36.8,20.4,0.0
37.6,31.6,0.0
31.4,48.2,0.0
11.8,28.4,0.0
27.0,30.2,0.0
35.4,23.4,0.0
24.8,41.4,0.0
40.0,35.6,0.0
28.0,41.2,0.0
38.6,12.4,0.0
21.2,38.0,0.0
15.0,43.6,0.0
30.8,35.0,0.0
14.0,31.2,0.0
41.0,36.0,0.0
60.0,20.6,0.0
40.0,28.8,0.0
28.4,51.2,0.0
30.4,57.0,0.0
31.8,23.4,0.0
38.8,16.2,0.0
39.4,17.2,0.0
19.4,18.0,0.0
21.6,38.8,0.0
35.4,48.0,0.0
17.6,36.0,0.0
18.4,35.8,0.0
25.2,46.6,0.0
38.8,39.6,0.0
33.8,33.2,0.0
22.0,37.0,0.0
28.0,43.2,0.0
25.2,35.6,0.0
13.8,33.8,0.0
27.4,34.0,0.0
30.6,7.0,0.0
33.0,46.8,0.0
28.2,46.6,0.0
22.8,48.0,0.0
27.6,40.8,0.0
33.6,7.8,0.0
23.4,23.4,0.0
28.6,47.6,0.0
28.4,45.4,0.0
42.8,28.6,0.0
