Time_allCommonNeighborOf2NodesFromOptions_MAT,Time_howManyNodesAreWithin2LinkReach_MAT,Time_rememberNodesUsedInCommonNeighbor_MAT
22.6,23.4,0.0
43.4,46.2,0.0
44.2,44.4,0.0
32.6,13.4,0.0
34.2,19.6,0.0
17.8,25.2,0.0
25.4,14.8,0.0
10.8,11.4,0.0
22.6,7.2,0.0
50.0,35.2,0.0
48.4,43.6,0.0
34.4,17.8,0.0
39.2,14.4,0.0
51.0,40.0,0.0
17.6,53.4,0.0
33.6,48.0,0.0
34.8,45.0,0.0
39.0,55.2,0.0
33.2,46.4,0.0
39.6,43.4,0.0
21.2,28.2,0.0
21.4,13.2,0.0
28.4,36.8,0.0
44.4,25.2,0.0
14.8,22.0,0.0
38.4,31.4,0.0
14.0,30.8,0.0
53.0,24.0,0.0
24.6,17.0,0.0
42.2,38.0,0.0
14.2,11.4,0.0
16.4,22.2,0.0
22.4,31.4,0.0
34.8,27.4,0.0
13.8,36.8,0.0
26.2,23.8,0.0
45.8,40.8,0.0
27.6,19.2,0.0
37.8,11.8,0.0
48.8,51.8,0.0
23.0,24.6,0.0
29.4,25.8,0.0
18.6,13.6,0.0
24.4,32.4,0.0
5.0,3.0,0.0
19.4,46.8,0.0
51.8,34.0,0.0
