Acc_neighbor_count_graph,Acc_neighbor_count_matrix
0.2,1.0
0.6,1.0
0.6,0.9
0.7,0.95
0.6,1.0
0.5,0.85
0.25,0.85
0.45,0.9
0.55,1.0
0.65,0.0
0.45,1.0
0.4,0.9
0.4,1.0
0.5,0.0
0.4,1.0
0.45,0.85
0.5,1.0
0.5,0.3
0.6,0.5
0.5,1.0
0.55,0.85
0.45,0.9
0.4,1.0
0.65,1.0
0.35,0.85
0.5,1.0
0.45,0.9
0.4,0.95
0.6,1.0
0.35,1.0
0.7,1.0
0.6,0.0
0.6,1.0
0.45,0.45
0.85,0.95
0.65,1.0
0.5,0.85
0.25,0.95
0.7,0.9
0.5,0.4
0.6,0.95
0.75,1.0
0.65,0.95
0.65,0.95
0.6,0.65
0.5,0.85
0.65,0.8
0.65,0.95
0.75,0.95
0.1,0.95
0.4,1.0
0.4,1.0
0.6,1.0
0.65,1.0
0.35,null
0.5,null
0.55,null
0.6,null


Time_neighbor_count_graph,null
1.05,null
6.3,null
5.8,null
6.7,null
6.85,null
9.7,null
9.55,null
9.4,null
8.0,null
7.6,null
9.0,null
9.55,null
7.35,null
8.05,null
4.6,null
9.9,null
5.75,null
4.7,null
8.25,null
9.6,null
9.0,null
9.8,null
4.5,null
7.95,null
6.55,null
5.1,null
6.3,null
7.0,null
5.95,null
4.45,null
9.5,null
4.4,null
6.45,null
5.3,null
6.15,null
5.35,null
8.35,null
9.95,null
6.65,null
3.2,null
9.55,null
9.3,null
8.7,null
8.5,null
8.05,null
5.55,null
6.8,null
5.3,null
5.5,null
2.75,null
6.0,null
7.5,null
9.8,null
5.4,null
6.6,null
9.45,null
8.15,null
7.4,null


