Time_neighbor_one_step_circular,,, :: Time_neighbor_two_step_circular,,,
Q1,Q2,Q3,Q4 :: Q1,Q2,Q3,Q4
5,3,2,5 :: 7,2,2,2
2,5,2,2 :: 4,5,1,1
4,4,0,3 :: 7,6,5,7
3,3,2,4 :: 3,4,3,7
5,3,2,1 :: 5,9,0,2
5,5,5,3 :: 4,6,6,6
5,5,5,5 :: 6,9,7,7
5,4,4,5 :: 5,4,4,5
4,3,4,3 :: 2,6,5,3
5,4,5,5 :: 6,5,9,9
5,5,5,5 :: 7,7,5,5
5,5,5,5 :: 10,10,10,8
4,4,3,3 :: 3,4,3,6
5,5,5,5 :: 8,7,7,7
5,4,5,5 :: 7,6,5,8
4,5,5,3 :: 8,10,10,5
5,5,5,5 :: 10,10,10,10
5,5,5,5 :: 10,8,8,10
5,4,5,5 :: 6,5,7,10
5,4,4,5 :: 8,5,5,8
5,5,5,5 :: 6,10,8,10
5,5,5,5 :: 10,9,10,6
5,5,5,5 :: 10,10,10,10
5,5,5,4 :: 6,10,6,4
5,5,5,3 :: 7,7,5,4
5,5,5,5 :: 5,7,3,7
5,5,5,5 :: 10,9,10,10
4,3,3,3 :: 3,4,4,4
5,5,5,5 :: 10,10,10,10
5,3,4,4 :: 4,5,4,7
4,4,4,4 :: 4,4,4,4
5,5,5,5 :: 5,10,8,10
5,5,5,4 :: 9,7,10,3
3,2,4,3 :: 4,4,5,4
5,5,5,5 :: 7,10,10,10
5,5,5,5 :: 10,8,10,7
5,5,5,5 :: 10,10,10,10
5,3,5,5 :: 7,8,9,7
5,5,5,4 :: 6,9,4,9
4,5,5,5 :: 10,7,4,6
5,2,3,3 :: 4,4,7,4
5,4,5,5 :: 5,10,6,7
5,2,5,5 :: 3,4,8,3
5,5,5,5 :: 7,10,8,8
5,5,5,5 :: 6,6,8,8
5,5,5,5 :: 8,8,7,9
5,3,3,5 :: 4,7,6,9
5,3,3,5 :: 4,9,5,5
4,5,5,5 :: 9,7,9,6
5,5,5,5 :: 9,10,7,8
5,5,5,0 :: 6,10,10,10
5,5,5,5 :: 5,10,6,7
5,5,5,4 :: 7,7,7,8
5,5,5,5 :: 3,7,6,6
5,3,5,5 :: 10,8,6,10
5,5,5,3 :: 4,8,7,5
5,4,5,4 :: 5,10,5,7
4,4,4,3 :: 8,5,4,7
5,3,3,5 :: 5,10,9,6
5,5,5,4 :: 8,10,10,5
1,2,1,0 :: 1,1,0,3
5,5,5,5 :: 7,10,10,10
