Acc_neighbor_two_step_matrixLongSameQn2,,,,, :: Acc_neighbor_count_matrixLongSameQn2,,,,,
Q1,Q2,Q3,Q4,Q5,Q6 :: Q1,Q2,Q3,Q4,Q5,Q6
true,true,true,true,true,true :: true,true,false,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,false,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,false,true,true,false,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
false,false,false,true,true,false :: true,true,true,true,true,true
true,true,true,true,false,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,false,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,false,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,false,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,false,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,false,true,true,true
true,true,false,true,true,true :: true,true,true,true,true,true
false,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,false,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: true,true,true,true,true,false
