Time_neighbor_two_step_NL-Short-Same1,,,,, :: Time_neighbor_count_NL-Short-Same1,,,,,
Q1,Q2,Q3,Q4,Q5,Q6 :: Q1,Q2,Q3,Q4,Q5,Q6
7,5,4,4,5,4 :: 4,5,10,6,3,2
4,3,7,3,2,5 :: 5,8,9,7,6,3
6,9,10,7,4,10 :: 8,10,2,9,5,6
10,6,4,3,2,2 :: 5,10,6,10,4,4
4,3,2,6,3,4 :: 4,9,8,6,4,4
7,5,8,10,8,10 :: 7,10,10,8,4,4
6,3,2,2,2,2 :: 3,6,3,9,5,2
9,5,10,6,5,10 :: 10,10,10,9,10,0
4,4,3,3,3,4 :: 3,7,6,10,4,3
4,5,4,6,3,4 :: 3,8,7,7,6,3
4,3,4,3,3,5 :: 5,8,10,10,5,3
4,5,4,6,10,4 :: 3,8,7,5,5,3
7,5,8,4,4,6 :: 5,9,9,9,5,4
8,10,8,8,8,8 :: 6,10,10,10,7,5
3,4,5,4,3,2 :: 4,10,9,6,4,4
6,9,6,7,5,5 :: 7,10,10,7,10,5
4,3,5,3,2,4 :: 2,6,5,5,0,1
7,5,4,6,3,4 :: 2,5,5,2,8,2
4,4,8,4,4,4 :: 4,7,8,2,6,4
5,5,5,5,5,7 :: 6,9,10,4,10,5
4,3,10,5,4,4 :: 4,4,7,3,6,3
8,6,8,6,4,7 :: 5,7,6,9,8,3
7,5,6,6,4,6 :: 5,10,10,5,7,4
4,4,3,4,4,4 :: 4,7,10,4,5,4
5,3,2,3,2,3 :: 3,5,6,3,5,2
10,5,9,4,3,4 :: 6,9,8,7,7,4
6,3,4,4,3,4 :: 4,7,9,5,7,4
5,4,7,7,3,5 :: 5,9,9,10,8,10
9,5,7,4,5,5 :: 8,10,10,8,10,7
6,4,7,3,3,6 :: 5,9,0,7,8,3
6,4,4,4,4,5 :: 4,10,9,3,7,3
4,3,5,4,3,4 :: 4,6,6,5,8,3
6,5,4,4,4,4 :: 5,6,10,6,8,4
5,6,6,6,7,6 :: 4,10,9,0,8,5
6,6,4,3,5,5 :: 7,5,5,4,5,4
