Time_neighbor_two_step_NL-Long-Same1,,,,, :: Time_neighbor_count_NL-Long-Same1,,,,,
Q1,Q2,Q3,Q4,Q5,Q6 :: Q1,Q2,Q3,Q4,Q5,Q6
4,4,9,3,5,3 :: 4,3,5,3,5,8
6,5,6,4,3,3 :: 10,7,9,2,4,8
5,8,6,3,2,2 :: 6,3,9,5,5,6
6,5,10,6,10,4 :: 4,4,5,2,4,4
6,4,7,4,6,4 :: 6,4,8,6,7,8
4,5,5,6,8,4 :: 4,3,5,3,5,6
9,5,7,3,4,3 :: 3,2,6,3,6,5
7,7,5,10,3,3 :: 8,6,8,4,5,7
6,10,10,6,4,3 :: 9,6,10,8,8,9
4,5,7,3,5,3 :: 3,3,10,3,5,6
6,9,10,7,5,3 :: 9,4,7,4,7,8
6,4,2,2,3,3 :: 3,2,4,3,4,7
4,4,3,2,3,2 :: 4,3,5,3,5,7
6,10,10,6,4,4 :: 9,4,7,4,7,6
3,5,6,3,4,3 :: 4,2,5,2,4,6
5,2,1,1,1,1 :: 3,2,2,2,3,4
4,4,5,4,4,2 :: 9,4,4,2,5,6
4,5,6,4,4,3 :: 10,4,7,3,8,10
5,3,7,2,5,2 :: 10,2,5,2,4,6
5,3,4,2,2,2 :: 8,5,5,4,5,5
7,7,10,5,6,3 :: 9,3,7,5,9,9
4,6,7,3,3,3 :: 9,3,6,3,6,8
3,4,4,2,4,2 :: 6,2,5,1,3,5
6,5,5,3,4,5 :: 10,5,10,5,10,7
5,3,7,3,3,2 :: 9,5,4,2,5,4
8,7,8,5,5,4 :: 10,5,8,4,10,10
5,10,10,6,6,7 :: 10,5,7,5,8,7
8,7,7,5,7,4 :: 10,6,7,3,6,9
4,2,5,2,2,1 :: 7,4,8,2,4,10
8,6,5,4,3,4 :: 9,0,9,3,4,5
4,5,2,5,3,2 :: 6,5,5,4,4,4
7,8,10,4,6,3 :: 10,5,10,5,10,10
3,6,7,9,5,4 :: 10,4,10,5,7,10
5,5,10,5,0,4 :: 10,4,6,1,7,7
6,6,8,3,3,2 :: 8,3,7,3,7,9
