Acc_neighbor_two_step_NL-LongTrainShortTime,,,,, :: Acc_neighbor_count_NL-LongTrainShortTime,,,,,
Q1,Q2,Q3,Q4,Q5,Q6 :: Q1,Q2,Q3,Q4,Q5,Q6
true,true,false,true,true,true :: false,true,true,true,true,false
true,true,false,true,true,true :: false,true,false,true,true,false
true,true,true,true,true,true :: false,true,true,true,true,false
true,true,false,true,true,true :: true,true,true,true,true,true
true,true,true,true,true,true :: false,true,true,true,true,true
true,true,true,true,true,true :: true,true,false,true,true,true
true,true,true,true,true,true :: true,true,false,true,true,false
false,true,true,true,true,true :: true,true,false,true,true,false
true,true,true,true,true,true :: true,true,false,true,true,false
true,true,false,true,true,true :: false,true,false,true,true,false
true,true,true,true,true,true :: false,true,true,true,true,true
true,true,true,true,true,true :: false,true,true,true,true,true
true,true,true,true,true,true :: false,true,true,true,true,false
true,true,false,true,true,true :: false,true,true,true,true,true
true,true,false,true,true,true :: true,true,true,true,true,false
true,true,true,false,false,true :: true,true,true,true,true,true
true,true,true,true,true,true :: false,true,false,true,true,false
true,true,true,true,true,true :: true,true,true,true,true,true
true,true,false,true,true,true :: false,true,false,true,true,false
