Time_neighbor_two_step_NL-LongTrainShortTime,,,,, :: Time_neighbor_count_NL-LongTrainShortTime,,,,,
Q1,Q2,Q3,Q4,Q5,Q6 :: Q1,Q2,Q3,Q4,Q5,Q6
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,3,4,2,4,2 :: 3,1,4,1,2,4
4,2,3,2,2,2 :: 4,4,4,4,4,4
3,2,4,3,4,4 :: 4,4,4,4,4,4
3,4,4,2,4,3 :: 4,2,4,3,4,4
4,4,4,3,4,3 :: 4,4,4,4,4,4
4,4,4,3,3,3 :: 0,4,4,4,4,4
4,4,4,3,4,4 :: 4,3,4,3,4,4
4,4,3,2,3,3 :: 4,2,3,1,3,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,3,4,3,4,2 :: 4,2,4,2,3,4
4,4,4,3,4,2 :: 4,3,4,3,4,4
4,4,4,3,4,2 :: 4,2,4,2,4,4
3,3,4,2,2,1 :: 4,2,4,2,2,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,3,3,4,4,2 :: 4,3,4,3,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,4,4,2,3,2 :: 4,2,4,2,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
