Time_neighbor_two_step_matrix-LongTrainShortTime,,,,, :: Time_neighbor_count_matrix-LongTrainShortTime,,,,,
Q1,Q2,Q3,Q4,Q5,Q6 :: Q1,Q2,Q3,Q4,Q5,Q6
4,3,3,4,3,4 :: 4,2,4,1,3,2
4,3,4,2,3,2 :: 4,2,3,2,3,4
4,4,2,4,3,4 :: 4,2,4,3,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,4,4,4,4,4 :: 4,4,4,3,4,4
4,4,4,4,3,4 :: 4,3,3,2,3,3
4,4,1,3,1,2 :: 4,2,4,3,4,3
4,4,4,4,3,4 :: 4,3,4,4,4,4
4,4,4,4,4,4 :: 4,4,4,3,4,4
4,4,4,4,4,4 :: 4,4,4,3,4,4
4,3,4,4,4,4 :: 4,2,4,2,4,3
4,4,4,4,4,4 :: 4,2,4,2,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,4,3,4,4,4 :: 4,4,4,3,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,4,4,4,4,4 :: 4,4,4,3,4,4
3,3,2,2,2,2 :: 4,3,4,2,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
4,4,4,4,4,4 :: 4,4,4,4,4,4
