Acc_neighbor_one_step_NL,Acc_neighbor_one_step_matrix
0.6,0.4
1.0,1.0
1.0,1.0
1.0,0.8
1.0,0.6
1.0,1.0
1.0,0.6
1.0,0.4
0.8,1.0
1.0,0.6
1.0,0.2
0.8,0.4
1.0,0.8
1.0,1.0
1.0,1.0
1.0,1.0
null,0.6


Acc_neighbor_1_step_1N_NL,Acc_neighbor_1_step_1N_matrix
0.6,0.6
1.0,1.0
1.0,0.8
1.0,1.0
1.0,1.0
1.0,0.8
0.6,0.4
1.0,0.6
1.0,1.0
1.0,0.6
0.8,0.6
1.0,0.6
0.8,0.6
1.0,0.8
1.0,1.0
1.0,0.8
null,0.4


Acc_neighbor_two_step_NL,Acc_neighbor_two_step_matrix
0.6,0.6
1.0,1.0
0.8,0.2
0.8,0.8
0.8,1.0
1.0,0.4
0.8,0.6
1.0,0.6
1.0,0.6
0.2,0.6
1.0,0.0
0.4,0.6
0.8,0.0
1.0,0.4
0.8,1.0
0.8,0.4
null,0.4


Time_neighbor_one_step_NL,Time_neighbor_one_step_matrix
2.2,9.6
6.4,4.8
5.6,8.4
7.0,9.8
7.0,6.8
7.6,7.2
7.2,3.0
5.2,7.2
7.2,6.4
7.0,3.2
4.6,7.
8.8,5.6
7.0,4.4
8.6,8.4
5.6,6.6
7.6,5.0
null,9.6


Time_neighbor_1_step_1N_NL,Time_neighbor_1_step_1N_matrix
2.0,15.0
7.0,13.0
8.8,13.2
10.0,14.8
10.2,11.6
10.8,12.6
11.8,4.8
12.0,4.8
10.4,11.0
11.6,2.2
7.6,10.8
11.0,4.6
9.8,8.0
9.4,13.8
8.4,9.6
10.8,13.2
null,15.0


Time_neighbor_two_step_NL,Time_neighbor_two_step_matrix
0.8,5.0
8.8,7.4
6.6,8.6
13.2,12.0
10.8,9.6
12.8,2.2
10.6,4.2
10.8,10.8
8.2,8.4
12.2,2.2
11.2,10.8
9.0,2.6
13.4,1.8
7.6,14.4
7.2,11.0
11.6,7.4
null,8.0


