Time_neighbor_1_step_1N_NL,,,, :: Time_neighbor_two_step_NL,,,, :: Time_neighbor_one_step_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
6,10,6,5,15 :: 5,5,10,2,5 :: 6,3,4,3,3
15,8,7,8,11 :: 13,9,15,7,6 :: 9,10,6,6,5
11,15,5,7,8 :: 15,6,13,6,8 :: 3,4,5,4,5
10,15,10,4,13 :: 6,15,8,6,8 :: 4,7,3,9,5
15,6,13,7,14 :: 10,8,6,12,7 :: 4,10,4,3,7
15,15,7,9,7 :: 8,9,10,11,5 :: 6,6,4,8,7
10,11,7,8,8 :: 15,8,15,15,6 :: 10,9,5,6,4
1,3,1,1,1 :: 0,1,1,0,11 :: 2,0,0,0,2
5,1,3,0,1 :: 1,3,2,1,9 :: 2,1,2,4,1
12,10,10,5,11 :: 4,10,11,13,5 :: 6,7,5,6,7
14,13,6,5,8 :: 6,12,7,6,6 :: 7,4,3,4,3
15,15,6,6,7 :: 7,9,11,7,7 :: 6,10,6,8,8
4,1,1,0,5 :: 3,1,2,4,0 :: 2,1,1,5,2
15,12,5,3,5 :: 4,4,3,2,2 :: 6,3,4,3,4
10,15,15,6,6 :: 11,15,12,9,4 :: 6,6,5,5,9
