Time_neighbor_1_step_1N_matrix,,,, :: Time_neighbor_two_step_matrix,,,, :: Time_neighbor_one_step_matrix,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
15,10,15,7,11 :: 8,10,3,3,9 :: 4,10,3,3,3
2,1,0,1,1 :: 1,0,0,0,0 :: 0,0,0,0,0
14,7,7,6,6 :: 8,7,5,11,9 :: 9,5,3,5,4
13,7,5,9,15 :: 15,10,12,11,14 :: 8,10,6,7,4
15,5,15,15,15 :: 6,14,5,9,15 :: 10,10,5,3,1
15,15,12,5,15 :: 13,8,5,10,15 :: 10,9,5,6,5
15,8,15,14,15 :: 8,13,10,5,13 :: 7,8,3,2,3
15,15,9,8,15 :: 9,4,6,6,5 :: 6,5,6,3,6
14,9,8,15,15 :: 15,15,14,6,13 :: 5,9,5,6,6
14,15,15,15,15 :: 13,15,9,15,15 :: 10,9,9,8,6
3,9,3,5,5 :: 15,15,9,15,15 :: 10,10,10,10,0
7,7,0,6,6 :: 5,6,3,6,15 :: 5,3,2,7,4
4,0,0,3,5 :: 3,4,2,1,0 :: 2,2,1,3,2
15,4,9,9,12 :: 7,12,8,12,12 :: 8,9,5,5,4
15,3,2,2,1 :: 1,1,1,2,2 :: 3,2,3,3,2
