Acc_neighbor_1_step_1N_NL,Acc_neighbor_1_step_1N_matrix
1.0,0.8
1.0,0.4
1.0,1.0
1.0,1.0
1.0,0.6
0.8,0.6
1.0,0.8
0.8,0.8
0.4,0.8
1.0,0.8
1.0,0.4
1.0,0.4
0.4,0.4
1.0,1.0
1.0,null


Acc_neighbor_two_step_NL,Acc_neighbor_two_step_matrix
1.0,0.8
0.8,0.4
1.0,1.0
1.0,1.0
0.8,1.0
1.0,1.0
0.6,1.0
0.2,0.4
0.4,0.6
0.8,0.8
1.0,0.6
1.0,0.8
0.6,0.8
1.0,1.0
1.0,null


Acc_neighbor_one_step_NL,Acc_neighbor_one_step_matrix
1.0,1.0
1.0,0.4
1.0,1.0
1.0,1.0
1.0,0.6
1.0,1.0
1.0,0.6
0.2,1.0
0.8,1.0
1.0,0.6
1.0,0.6
1.0,0.2
0.6,0.6
1.0,1.0
0.8,null


Time_neighbor_1_step_1N_NL,Time_neighbor_1_step_1N_matrix
8.4,11.6
9.8,1.0
9.2,8.0
10.4,9.8
11.0,13.0
10.6,12.4
8.8,13.4
1.4,12.4
2.0,12.2
9.6,14.8
9.2,5.0
9.8,5.2
2.2,2.4
8.0,9.8
10.4,null


Time_neighbor_two_step_NL,Time_neighbor_two_step_matrix
5.4,6.6
10.0,0.2
9.6,8.0
8.6,12.4
8.6,9.8
8.6,10.2
11.8,9.8
2.6,6.0
3.2,12.6
8.6,13.4
7.4,13.8
8.2,7.0
2.0,2.0
3.0,10.2
10.2,null


Time_neighbor_one_step_NL,Time_neighbor_one_step_matrix
3.8,4.6
7.2,0.0
4.2,5.2
5.6,7.0
5.6,5.8
6.2,7.0
6.8,4.6
0.8,5.2
2.0,6.2
6.2,8.4
4.2,8.0
7.6,4.2
2.2,2.0
4.0,6.2
6.2,null


