Acc_neighbor_two_step_NL,,,, :: Acc_neighbor_1_step_1N_NL,,,, :: Acc_neighbor_one_step_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
false,true,true,false,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: false,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,false,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,false,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
false,true,true,true,true :: true,true,false,false,true :: true,false,true,true,false
true,true,true,false,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
true,true,false,true,true :: true,true,true,true,true :: true,false,true,true,true
false,true,true,true,true :: true,false,true,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
