Time_neighbor_two_step_matrix,,,, :: Time_neighbor_1_step_1N_matrix,,,, :: Time_neighbor_one_step_matrix,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
4,10,3,10,1 :: 0,3,3,2,1 :: 0,1,2,2,1
4,11,15,8,6 :: 15,15,7,6,11 :: 3,5,6,3,4
15,13,15,15,15 :: 15,15,15,15,15 :: 10,10,10,8,7
11,12,7,12,5 :: 15,15,15,13,15 :: 8,10,4,5,7
14,15,0,15,14 :: 15,15,15,15,0 :: 10,10,10,10,10
10,12,11,14,13 :: 10,15,6,9,13 :: 8,8,8,4,5
15,15,10,7,13 :: 15,15,15,15,15 :: 8,10,8,6,10
15,15,9,15,15 :: 15,9,7,15,15 :: 7,8,8,7,6
1,1,1,1,4 :: 15,10,7,1,2 :: 2,2,1,1,1
7,14,5,3,3 :: 2,1,6,5,3 :: 3,2,4,3,4
13,10,6,6,8 :: 15,8,15,15,15 :: 5,6,3,3,7
15,15,15,15,15 :: 15,15,11,12,15 :: 9,10,9,7,8
15,11,13,8,7 :: 15,13,8,8,15 :: 6,4,5,6,4
11,15,13,15,13 :: 8,15,11,15,15 :: 7,6,6,4,5
