Acc_neighbor_two_step_NL,Acc_neighbor_two_step_matrix
1.0,0.2
0.6,0.8
1.0,0.6
1.0,0.4
1.0,0.6
1.0,0.6
0.8,0.6
1.0,0.8
0.8,0.8
0.8,1.0
1.0,0.6
1.0,0.6
0.8,1.0
0.8,0.8
1.0,null


Acc_neighbor_1_step_1N_NL,Acc_neighbor_1_step_1N_matrix
1.0,0.6
1.0,0.8
0.8,0.4
0.8,0.8
1.0,0.6
1.0,1.0
1.0,0.6
1.0,1.0
0.6,0.6
1.0,0.6
1.0,0.8
1.0,0.8
1.0,0.8
0.8,0.6
1.0,null


Acc_neighbor_one_step_NL,Acc_neighbor_one_step_matrix
1.0,0.8
1.0,0.4
1.0,1.0
1.0,1.0
1.0,0.8
1.0,1.0
1.0,1.0
1.0,1.0
0.6,0.6
1.0,0.6
1.0,1.0
1.0,1.0
0.8,1.0
1.0,0.6
1.0,null


Time_neighbor_two_step_NL,Time_neighbor_two_step_matrix
9.6,5.6
10.6,8.8
7.0,14.6
5.8,9.4
10.0,11.6
7.8,12.0
9.6,12.0
12.0,13.8
6.2,1.6
12.4,6.4
4.6,8.6
9.2,15.0
14.2,10.8
9.2,13.4
12.4,null


Time_neighbor_1_step_1N_NL,Time_neighbor_1_step_1N_matrix
8.0,1.8
8.8,10.8
8.8,15.0
6.8,14.6
11.0,12.0
4.0,10.6
10.8,15.0
11.6,12.2
4.0,7.0
9.4,3.4
7.2,13.6
9.6,13.6
10.2,11.8
10.8,12.8
10.4,null


Time_neighbor_one_step_NL,Time_neighbor_one_step_matrix
6.6,1.2
5.4,4.2
5.6,9.0
5.0,6.8
7.6,10.0
3.4,6.6
6.6,8.4
7.0,7.2
3.0,1.4
8.0,3.2
3.0,4.8
4.0,8.6
8.2,5.0
8.0,5.6
8.2,null


