Accuracy_6_NLD,Accuracy_5b_NLD,Accuracy_5a_NLD
1.0,1.0,1.0
0.6,1.0,1.0
1.0,0.8,1.0
1.0,0.8,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,1.0
1.0,1.0,1.0
0.8,0.6,0.6
0.8,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,0.8
0.8,0.8,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,1.0
0.8,1.0,1.0
0.8,1.0,1.0
1.0,1.0,1.0
0.8,0.6,1.0
1.0,1.0,1.0
1.0,1.0,0.8
0.2,1.0,1.0
1.0,0.8,1.0
0.4,1.0,0.8
0.8,0.8,1.0
1.0,1.0,1.0
0.8,1.0,1.0
0.8,1.0,1.0
1.0,1.0,1.0
0.8,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,1.0
1.0,0.8,1.0
0.6,1.0,1.0
0.2,0.8,0.2
0.4,0.4,0.8
0.8,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.6,0.4,0.6
1.0,1.0,1.0
1.0,1.0,0.8
