Acc_neighbor_one_step_matrix,,,, :: Acc_neighbor_1_step_1N_matrix,,,, :: Acc_neighbor_two_step_matrix,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
true,true,false,false,false :: true,false,true,false,true :: true,false,true,false,true
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: false,true,true,true,true :: false,true,false,false,false
true,true,false,true,true :: true,true,true,true,true :: true,false,true,true,true
true,false,false,true,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,true,false,true :: true,false,false,true,false
true,true,true,false,false :: false,true,true,false,false :: true,true,false,true,false
true,false,false,true,false :: true,true,false,false,true :: true,false,false,true,true
true,true,true,true,true :: true,true,true,true,true :: true,false,false,true,true
true,true,false,true,false :: true,false,true,false,true :: false,true,true,false,true
true,false,false,false,false :: true,false,false,true,true :: false,false,false,false,false
false,false,true,true,false :: true,true,true,false,false :: true,false,false,true,true
true,false,true,true,true :: true,true,true,false,false :: false,false,false,false,false
true,true,true,true,true :: true,true,true,false,true :: true,false,true,false,false
true,true,true,true,true :: true,true,true,true,true :: true,true,true,true,true
true,true,true,true,true :: true,true,true,false,true :: false,true,false,false,true
true,false,true,true,false :: true,true,false,false,false :: false,false,false,true,true
