Time_6_NLD,Time_5b_NLD,Time_5a_NLD
9.6,8.0,6.6
10.6,8.8,5.4
7.0,8.8,5.6
5.8,6.8,5.0
10.0,11.0,7.6
7.8,4.0,3.4
9.6,10.8,6.6
12.0,11.6,7.0
6.2,4.0,3.0
12.4,9.4,8.0
4.6,7.2,3.0
9.2,9.6,4.0
14.2,10.2,8.2
9.2,10.8,8.0
12.4,10.4,8.2
8.8,7.0,6.4
6.6,8.8,5.6
13.2,10.0,7.0
10.8,10.2,7.0
12.8,10.8,7.6
10.6,11.8,7.2
10.8,12.0,5.2
8.2,10.4,7.2
12.2,11.6,7.0
11.2,7.6,4.6
9.0,11.0,8.8
13.4,9.8,7.0
7.6,9.4,8.6
7.2,8.4,5.6
11.6,10.8,7.6
5.4,8.4,3.8
10.0,9.8,7.2
9.6,9.2,4.2
8.6,10.4,5.6
8.6,11.0,5.6
8.6,10.6,6.2
11.8,8.8,6.8
2.6,1.4,0.8
3.2,2.0,2.0
8.6,9.6,6.2
7.4,9.2,4.2
8.2,9.8,7.6
2.0,2.2,2.2
3.0,8.0,4.0
10.2,10.4,6.2
