Time_6_matrix,Time_5b_matrix,Time_5a_matrix
5.6,1.8,1.2
8.8,10.8,4.2
14.6,15.0,9.0
9.4,14.6,6.8
11.6,12.0,10.0
12.0,10.6,6.6
12.0,15.0,8.4
13.8,12.2,7.2
1.6,7.0,1.4
6.4,3.4,3.2
8.6,13.6,4.8
15.0,13.6,8.6
10.8,11.8,5.0
13.4,12.8,5.6
5.0,15.0,9.6
7.4,13.0,4.8
8.6,13.2,8.4
12.0,14.8,9.8
9.6,11.6,6.8
2.2,12.6,7.2
4.2,4.8,3.0
10.8,4.8,7.2
8.4,11.0,6.4
2.2,2.2,3.2
10.8,10.8,7.0
2.6,4.6,5.6
1.8,8.0,4.4
14.4,13.8,8.4
11.0,9.6,6.6
7.4,13.2,5.0
8.0,15.0,9.6
6.6,11.6,4.6
8.0,8.0,5.2
12.4,9.8,7.0
9.8,13.0,5.8
10.2,12.4,7.0
9.8,13.4,4.6
6.0,12.4,5.2
12.6,12.2,6.2
13.4,14.8,8.4
13.8,5.0,8.0
7.0,5.2,4.2
2.0,2.4,2.0
10.2,9.8,6.2
1.4,4.6,2.6
