Time_neighbor_one_step_NL,,,, :: Time_neighbor_1_step_1N_NL,,,, :: Time_neighbor_two_step_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
6,0,3,1,1 :: 6,1,1,1,1 :: 1,1,1,0,1
8,7,4,7,6 :: 9,9,5,6,6 :: 8,7,11,6,12
5,9,7,3,4 :: 12,13,3,9,7 :: 5,6,6,12,4
6,9,5,8,7 :: 14,15,7,5,9 :: 15,6,15,15,15
10,6,6,5,8 :: 11,15,7,7,11 :: 8,10,11,10,15
7,7,10,8,6 :: 12,15,7,6,14 :: 8,15,15,11,15
8,10,5,7,6 :: 10,15,12,15,7 :: 7,14,15,3,14
4,6,6,5,5 :: 14,15,8,8,15 :: 7,10,14,10,13
8,6,10,6,6 :: 15,12,7,9,9 :: 13,9,7,7,5
9,9,6,6,5 :: 15,14,11,6,12 :: 14,11,14,12,10
5,5,5,4,4 :: 9,8,10,5,6 :: 13,7,9,14,13
10,10,8,9,7 :: 15,15,10,8,7 :: 13,8,9,0,15
8,10,7,5,5 :: 11,8,7,13,10 :: 14,9,14,15,15
10,10,7,9,7 :: 7,11,9,11,9 :: 15,5,9,6,3
7,6,8,4,3 :: 13,8,8,4,9 :: 7,7,8,6,8
8,9,6,9,6 :: 15,10,9,11,9 :: 15,10,8,12,13
