Time_neighbor_two_step_NL,,,, :: Time_neighbor_1_step_1N_NL,,,, :: Time_neighbor_one_step_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
10,8,14,11,5 :: 11,11,5,7,6 :: 7,7,8,5,6
15,14,7,9,8 :: 13,11,7,5,8 :: 8,5,5,4,5
8,8,5,7,7 :: 15,9,9,5,6 :: 8,4,4,7,5
8,7,3,6,5 :: 8,10,5,6,5 :: 3,6,7,6,3
9,7,15,8,11 :: 15,15,6,11,8 :: 6,8,9,8,7
13,7,6,8,5 :: 4,4,4,2,6 :: 5,3,3,2,4
9,7,13,11,8 :: 15,15,8,6,10 :: 6,8,8,5,6
13,12,14,14,7 :: 15,10,8,10,15 :: 10,8,7,10,0
7,9,5,6,4 :: 4,4,5,4,3 :: 3,3,3,3,3
14,9,15,14,10 :: 7,14,6,6,14 :: 10,10,6,6,8
5,5,6,5,2 :: 7,12,8,3,6 :: 4,3,3,3,2
9,7,14,9,7 :: 8,15,11,0,14 :: 4,3,3,6,4
15,15,15,12,14 :: 15,11,8,7,10 :: 8,8,6,9,10
15,8,10,7,6 :: 14,12,10,9,9 :: 10,10,7,7,6
14,15,15,9,9 :: 14,10,7,10,11 :: 10,8,8,7,8
1,1,1,0,1 :: 6,1,1,1,1 :: 6,0,3,1,1
8,7,11,6,12 :: 9,9,5,6,6 :: 8,7,4,7,6
5,6,6,12,4 :: 12,13,3,9,7 :: 5,9,7,3,4
15,6,15,15,15 :: 14,15,7,5,9 :: 6,9,5,8,7
8,10,11,10,15 :: 11,15,7,7,11 :: 10,6,6,5,8
8,15,15,11,15 :: 12,15,7,6,14 :: 7,7,10,8,6
7,14,15,3,14 :: 10,15,12,15,7 :: 8,10,5,7,6
7,10,14,10,13 :: 14,15,8,8,15 :: 4,6,6,5,5
13,9,7,7,5 :: 15,12,7,9,9 :: 8,6,10,6,6
14,11,14,12,10 :: 15,14,11,6,12 :: 9,9,6,6,5
13,7,9,14,13 :: 9,8,10,5,6 :: 5,5,5,4,4
13,8,9,0,15 :: 15,15,10,8,7 :: 10,10,8,9,7
14,9,14,15,15 :: 11,8,7,13,10 :: 8,10,7,5,5
15,5,9,6,3 :: 7,11,9,11,9 :: 10,10,7,9,7
7,7,8,6,8 :: 13,8,8,4,9 :: 7,6,8,4,3
15,10,8,12,13 :: 15,10,9,11,9 :: 8,9,6,9,6
5,5,10,2,5 :: 6,10,6,5,15 :: 6,3,4,3,3
13,9,15,7,6 :: 15,8,7,8,11 :: 9,10,6,6,5
15,6,13,6,8 :: 11,15,5,7,8 :: 3,4,5,4,5
6,15,8,6,8 :: 10,15,10,4,13 :: 4,7,3,9,5
10,8,6,12,7 :: 15,6,13,7,14 :: 4,10,4,3,7
8,9,10,11,5 :: 15,15,7,9,7 :: 6,6,4,8,7
15,8,15,15,6 :: 10,11,7,8,8 :: 10,9,5,6,4
0,1,1,0,11 :: 1,3,1,1,1 :: 2,0,0,0,2
1,3,2,1,9 :: 5,1,3,0,1 :: 2,1,2,4,1
4,10,11,13,5 :: 12,10,10,5,11 :: 6,7,5,6,7
6,12,7,6,6 :: 14,13,6,5,8 :: 7,4,3,4,3
7,9,11,7,7 :: 15,15,6,6,7 :: 6,10,6,8,8
3,1,2,4,0 :: 4,1,1,0,5 :: 2,1,1,5,2
4,4,3,2,2 :: 15,12,5,3,5 :: 6,3,4,3,4
11,15,12,9,4 :: 10,15,15,6,6 :: 6,6,5,5,9
