Time_neighbor_one_step_matrix,,,, :: Time_neighbor_1_step_1N_matrix,,,, :: Time_neighbor_two_step_matrix,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
10,10,8,10,10 :: 15,15,15,15,15 :: 11,5,1,2,6
5,9,4,3,3 :: 15,14,7,14,15 :: 6,5,6,15,5
10,10,8,7,7 :: 15,15,10,11,15 :: 8,13,7,10,5
10,9,10,10,10 :: 15,15,15,14,15 :: 10,15,15,8,12
8,10,5,3,8 :: 15,8,7,14,14 :: 13,8,6,15,6
10,10,6,5,5 :: 15,6,15,13,14 :: 3,2,2,2,2
3,1,1,3,7 :: 1,15,3,3,2 :: 6,3,3,5,4
10,5,4,7,10 :: 8,5,4,3,4 :: 13,13,9,11,8
10,7,6,5,4 :: 15,7,6,12,15 :: 6,7,12,10,7
6,3,2,1,4 :: 3,2,2,2,2 :: 2,2,3,1,3
8,10,6,6,9 :: 14,12,14,14,0 :: 10,9,7,13,15
10,4,4,2,8 :: 6,4,7,5,1 :: 3,3,2,2,3
6,3,3,3,7 :: 15,15,3,5,2 :: 1,1,2,2,3
10,10,8,8,6 :: 15,9,15,15,15 :: 15,12,15,15,15
5,7,10,6,5 :: 13,8,8,5,14 :: 12,10,8,14,11
6,8,3,3,5 :: 15,11,10,15,15 :: 6,3,13,8,7
10,10,10,10,8 :: 15,15,15,15,15 :: 10,11,15,3,1
