Acc_neighbor_one_step_arrow,Acc_neighbor_one_step_tapered,Acc_neighbor_one_step_circular
1.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0


Acc_neighbor_two_step_arrow,Acc_neighbor_two_step_tapered,Acc_neighbor_two_step_circular
0.0,0.5,0.5
0.5,1.0,0.5
0.5,0.5,0.0


Time_neighbor_one_step_arrow,Time_neighbor_one_step_tapered,Time_neighbor_one_step_circular
1.0,1.0,0.5
2.0,1.5,1.5
1.0,0.5,0.5


Time_neighbor_two_step_arrow,Time_neighbor_two_step_tapered,Time_neighbor_two_step_circular
1.0,1.0,1.0
1.5,1.0,1.0
1.0,1.0,1.0


