Acc_selectNodeWithHighestDegree2_MAT,Acc_selectAllNeigbhorsOf1Node_MAT,Acc_selectMoreInterconnectedCluster2Clusters_MAT
0.7,0.671666667,0.8
0.7,0.888888889,0.8
0.8,0.772222222,0.8
0.8,0.825,0.8
0.7,0.922222222,0.5
0.4,0.511111111,0.8
0.9,0.977777778,0.8
0.5,0.250555556,0.8
0.7,0.880555556,0.8
0.8,0.866666667,0.8
0.6,0.703888889,0.7
0.6,0.763888889,0.9
0.7,0.703888889,0.7
0.5,0.902222222,0.8
0.9,0.602777778,0.8
1,0.602777778,0.8
0.6,0.797222222,0.8
0.9,0.875,0.9
0.8,0.672222222,0.8
0.9,0.783333333,0.8
0.7,0.415,0.9
0.8,0.875,0.9
0.7,0.813333333,0.9
0.8,0.521666667,0.8
0.8,0.713333333,0.8
0.6,0.822222222,0.7
0.8,0.9,0.9
0.9,0.866666667,0.8
0.8,0.794444444,0.8
0.6,0.713888889,0.9
0.6,0.671111111,0.8
0.7,0.599444444,0.7
0.8,0.696666667,0.8
0.4,0.083333333,0.8
1,0.868888889,0.8
0.7,0.824444444,0.8
0.6,0.697222222,0.8
1,0.533333333,0.7
0.9,0.925,0.8
0.9,0.977777778,0.7
0.9,0.822222222,0.7
0.8,0.687777778,0.8
0.9,0.908333333,0.7
0.8,0.426666667,0.9
0.6,0.686666667,0.6
0.7,0.7,0.7
0.8,0.95,0.5
0.9,1,0.8
0.6,0.819444444,0.7
0.8,0.919444444,0.7
0.5,0.98,0.7
0.8,0.783333333,0.9
0.9,0.963333333,0.8
0.7,0.794444444,0.9
0.4,0.521111111,0.7
0.63,0.8,0.6
0.925,0.7,0.7
0.836111111,1,0.8
